"state","zipcode","planid","premium","duration","extendedInfo","uri","status","finalPrice"
"ky","40214","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"la","70816","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ma","02128","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##md","21215","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##me","04401","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"mi","48228","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##mn","55106","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"mo","63129","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"ms","39503","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##mt","59102","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"nc","28269","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##nd","58103","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"ne","68104","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##nh","03103","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##nj","08701","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##nm","87121","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"nv","89110","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ny","11226","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"oh","43228","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"ok","73160","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"or","97229","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"pa","19120","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ri","02909","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##sc","29223","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##sd","57106","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"tn","37013","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"tx","79936","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ut","84120","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"va","23464","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##vt","05401","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##wa","98115","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"wi","53215","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"wv","25302","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"wy","82001","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
