"provider","state","zipcode","planid","QA_Apply_page_rate","testprod_Apply_page_rate","Primary_dob","Primary_gender","Spouse_dob","Spouse_gender","Spouse","Spouse_enable","Child_dob","Child_gender","Child","Child_enable"
"Standard Life","az","85364","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"Standard Life","az","85364","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","","","","","2000/1/1","M","C","2"
"Standard Life","az","85364","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","","","","","1997/1/1","M","C","2"
"Standard Life","dc","20015","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","","","","","","","",""
"Standard Life","dc","20015","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","1980/1/1","M","S","1","","","",""
"Standard Life","dc","20015","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"Standard Life","dc","20015","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","","","","","2000/1/1","M","C","2"
"Standard Life","dc","20015","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","","","","","1997/1/1","M","C","2"
"Standard Life","fl","33186","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","","","","","","","",""
"Standard Life","fl","33186","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","1980/1/1","M","S","1","","","",""
"Standard Life","fl","33186","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"Standard Life","fl","33186","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","","","","","2000/1/1","M","C","2"
"Standard Life","fl","33186","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","","","","","1997/1/1","M","C","2"
"Standard Life","ia","50317","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","","","","","","","",""
"Standard Life","ia","50317","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","1980/1/1","M","S","1","","","",""
"Standard Life","ia","50317","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"Standard Life","ia","50317","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","","","","","2000/1/1","M","C","2"
"Standard Life","ia","50317","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","","","","","1997/1/1","M","C","2"
"Standard Life","ms","39503","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","","","","","","","",""
"Standard Life","ms","39503","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","1980/1/1","M","S","1","","","",""
"Standard Life","ms","39503","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"Standard Life","ms","39503","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","","","","","2000/1/1","M","C","2"
"Standard Life","ms","39503","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","","","","","1997/1/1","M","C","2"
"Standard Life","oh","43228","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","","","","","","","",""
"Standard Life","oh","43228","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","1980/1/1","M","S","1","","","",""
"Standard Life","oh","43228","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"Standard Life","oh","43228","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","","","","","2000/1/1","M","C","2"
"Standard Life","oh","43228","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","","","","","1997/1/1","M","C","2"
"Standard Life","ok","73160","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","","","","","","","",""
"Standard Life","ok","73160","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","1980/1/1","M","S","1","","","",""
"Standard Life","ok","73160","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"Standard Life","ok","73160","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","","","","","2000/1/1","M","C","2"
"Standard Life","ok","73160","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","","","","","1997/1/1","M","C","2"
"Standard Life","pa","19120","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","","","","","","","",""
"Standard Life","pa","19120","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","1980/1/1","M","S","1","","","",""
"Standard Life","pa","19120","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"Standard Life","pa","19120","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","","","","","2000/1/1","M","C","2"
"Standard Life","pa","19120","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","","","","","1997/1/1","M","C","2"
