"state","zipcode","carrierid","FW","FWTitle","maxDuration","conNUM","acknowledgement"
"##MO","63129","carrier-slaico-","${FW}","","","",""
"##MS","39503","carrier-slaico-","${FW}","","","",""
"##MT","59102","carrier-slaico-","${FW}","","","",""
"##NC","28269","carrier-slaico-","${FW}","","","",""
"##ND","58103","carrier-slaico-","${FW}","","","",""
"##NE","68104","carrier-slaico-","${FW}","","","",""
"##NH","3103","carrier-slaico-","${FW}","","","",""
"##NJ","8701","carrier-slaico-","${FW}","","","",""
"##NM","87121","carrier-slaico-","${FW}","","","",""
"##NV","89110","advanthealth","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","FRAUD WARNING","","",""
"##NY","11226","carrier-slaico-","${FW}","","","",""
"##OH","43228","carrier-slaico-","${FW}","","","",""
"##OK","73160","advanthealth","Any person who knowingly, and with intent to injure, defraud or deceive any insurer, makes any claims for the proceeds of an insurance policy containing any false, incomplete or misleading information is guilty of a felony.","FRAUD WARNING FOR OKLAHOMA","","",""
"##OR","97229","carrier-slaico-","${FW}","","","",""
"##PA","19120","carrier-slaico-","Any person who knowingly and with intent to defraud any insurance company or other person files an application for insurance or statement of claim containing any materially false information or conceals for the purpose of misleading, information concerning any fact material thereto commits a fraudulent insurance act, which is a crime and subjects such person to criminal and civil penalties.","FRAUD WARNING","","",""
"##RI","2909","carrier-slaico-","${FW}","","","",""
"##SC","29223","carrier-slaico-","${FW}","","","",""
"##SD","57106","carrier-slaico-","${FW}","","","",""
"##TN","37230","carrier-slaico-","${FW}","","","",""
"##TX","79936","carrier-slaico-","${FW}","","","",""
"##UT","84120","carrier-slaico-","${FW}","","","",""
"##VA","23464","carrier-slaico-","${FW}","","","",""
"##VT","5401","carrier-slaico-","${FW}","","","",""
"##WA","98115","carrier-slaico-","${FW}","","","",""
"WI","53215","advanthealth","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","FRAUD WARNING","18","3","You are selecting a 6 month policy term with an auto renewal option that will allow you to extend your coverage by 2 additional terms. Your benefit limits will reset with each 6 month term, but your deductible and coinsurance will only reset after each 12 months of continuous coverage, upon the beginning of your third policy terms. If you have not selected the Pre-Existing Conditions Waiver or if the Waiver is not available for your plan, then medical conditions developed during your prior term may not be covered by your additional terms. Prices may change at the start of each new policy. You can cancel anytime."
"##WV","25302","carrier-slaico-","${FW}","","","",""
"##WY","82001","carrier-slaico-","${FW}","","","",""
