"provider","state","Plan_name","quote_QA_rate","QA_Apply_page_rate","quote_testprod_rate","testprod_Apply_page_rate","zipcode","Primary_dob","Primary_gender"
"##Chubb","ia","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","50317","1/1/1980","F"
"##Chubb","id","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","83709","1/1/1980","F"
"Chubb","il","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","60629","1/1/1980","F"
"Chubb","in","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","46227","1/1/1980","F"
"##Chubb","ks","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","66062","1/1/1980","F"
"Chubb","ky","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","40214","1/1/1980","F"
"Chubb","la","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","70816","1/1/1980","F"
"##Chubb","ma","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","2128","1/1/1980","F"
"##Chubb","md","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","21215","1/1/1980","F"
"##Chubb","me","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","4401","1/1/1980","F"
"Chubb","mi","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","48228","1/1/1980","F"
"##Chubb","mn","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","55106","1/1/1980","F"
"##Chubb","mo","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","63129","1/1/1980","F"
"Chubb","ms","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","39503","1/1/1980","F"
"##Chubb","mt","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","59102","1/1/1980","F"
"##Chubb","nc","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","28269","1/1/1980","F"
"##Chubb","nd","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","58103","1/1/1980","F"
"Chubb","ne","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","68104","1/1/1980","F"
"##Chubb","nh","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","3103","1/1/1980","F"
"##Chubb","nj","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","8701","1/1/1980","F"
"Chubb","nm","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","87121","1/1/1980","F"
"##Chubb","nv","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","89110","1/1/1980","F"
"##Chubb","ny","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","11226","1/1/1980","F"
"Chubb","oh","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","43228","1/1/1980","F"
"##Chubb","ok","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","73160","1/1/1980","F"
"##Chubb","or","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","97229","1/1/1980","F"
"Chubb","pa","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","19120","1/1/1980","F"
"##Chubb","ri","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","2909","1/1/1980","F"
"Chubb","sc","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","29223","1/1/1980","F"
"##Chubb","sd","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","57106","1/1/1980","F"
"Chubb","tn","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","37230","1/1/1980","F"
"##Chubb","tx","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","79936","1/1/1980","F"
"##Chubb","ut","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","84120","1/1/1980","F"
"Chubb","va","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","23464","1/1/1980","F"
"##Chubb","vt","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","5401","1/1/1980","F"
"##Chubb","wa","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","98115","1/1/1980","F"
"Chubb","wi","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","53215","1/1/1980","F"
"Chubb","wv","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","25302","1/1/1980","F"
"Chubb","wy","Core Shield","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","82001","1/1/1980","F"
