NPI,Provider Organization Name (Legal Business Name),Provider Other Organization Name,Provider Other Organization Name Type Code,Provider First Line Business Practice Location Address,Provider Second Line Business Practice Location Address,Provider Business Practice Location Address City Name,Provider Business Practice Location Address State Name,Provider Business Practice Location Address Postal Code,Add,LNL,Provider Business Practice Location Address Telephone Number,Provider Business Practice Location Address Fax Number
1255581500,ABLE ACUPUNCTURE,,,2015 MADISON ST,202,HOLLYWOOD,FL,330206974,"2015 MADISON ST,202,HOLLYWOOD,FL 33020",${LNL},9543944038,9542395433
1487080800,"COFFEYVILLE FAMILY PRACTICE CLINIC, P.A.",PRIORITY HEALTH OF COFFEYVILLE URGENT CARE,3,1318 W 11TH ST,,COFFEYVILLE,KS,673373608,"1318 W 11TH ST,COFFEYVILLE,KS 67337",${LNL},6206886373,6206886313
1639381965,URGENT CARE PHYSICIANS OF TAMIAMI LLC,,,14700 SW 8 ST,,MIAMI,FL,33175,"14700 SW 8 ST,MIAMI,FL 33175",${LNL},3052275176,3055544828
1295165967,A-5 MEDICAL ASSOCIATES CTR LLC,7-DAYS URGENT CARE,3,6150 INDEPENDENCE PKWY,SUITE K,PLANO,TX,750234000,"6150 INDEPENDENCE PKWY,SUITE K,PLANO,TX 75023",${LNL},2148421513,
1093138935,MHS PRIMARY CARE INC,MIDDLESEX HOSPITAL URGENT CARE,3,1347 BOSTON POST RD,MIDDLESEX HOSPITAL URGENT CARE MADISON,MADISON,CT,64433475,"1347 BOSTON POST RD,MIDDLESEX HOSPITAL URGENT CARE MADISON,MADISON,CT 6443",${LNL},2037795207,2037795792
1891861159,THERESA BUCK'S URGENT CARE WALK IN CLINIC,,,1100 SMITHVILLE HWY STE 123,,MC MINNVILLE,TN,371101665,"1100 SMITHVILLE HWY STE 123,MC MINNVILLE,TN 37110",${LNL},9315079355,9315079355
1043547334,OCHSNER CLINIC LLC,OCHSNER AFTER HOURS AND URGENT CARE - MANDEVILLE,3,2810 E CAUSEWAY APPROACH,,MANDEVILLE,LA,704483502,"2810 E CAUSEWAY APPROACH,MANDEVILLE,LA 70448",${LNL},9858752340,
1952638249,OCHSNER CLINIC LLC,OCHSNER AFTER HOURS & URGENT CARE - WESTBANK,3,441 WALL BLVD,,GRETNA,LA,700567723,"441 WALL BLVD,GRETNA,LA 70056",${LNL},5043716550,
1689942542,SAINT PETER'S HEALTHCARE SYSTEM PHYSICIAN ASSOCIATES,SAINT PETER'S URGENT CARE CENTER,3,1378 ROUTE 206,SUITE 9,SKILLMAN,NJ,85581923,"1378 ROUTE 206,SUITE 9,SKILLMAN,NJ 8558",${LNL},6094974597,
1285986075,"EAST VALLEY URGENT CARE,LLC",URGENT CARE EXTRA-HIGLEY,3,1355 S HIGLEY RD,STE 104,GILBERT,AZ,85298,"1355 S HIGLEY RD,STE 104,GILBERT,AZ 85298",${LNL},4808406600,
1093905986,"URGENT CARE OF LONGWOOD, LLC",,,450 W. STATE ROAD 434 # 101,,LONGWOOD,FL,32750,"450 W. STATE ROAD 434 # 101,LONGWOOD,FL 32750",${LNL},4077678200,4073391200
1184805160,"SIMPLISTIC URGENT CARE, PLLC",,,915 BAXTER AVE,,LOUISVILLE,KY,402042046,"915 BAXTER AVE,LOUISVILLE,KY 40204",${LNL},5024793245,5024793066
1477783702,MAPLE CREST MEDICAL PLC,,,35450 DEQUINDRE RD,SUITE 103,STERLING HEIGHTS,MI,483104810,"35450 DEQUINDRE RD,SUITE 103,STERLING HEIGHTS,MI 48310",${LNL},5867952980,
1174827125,ODOCHI NWAGWU MD INC,SPECTRUM URGENT CARE,3,15095 AMARGOSA RD,SUITE 280,VICTORVILLE,CA,923941879,"15095 AMARGOSA RD,SUITE 280,VICTORVILLE,CA 92394",${LNL},7609529100,7609529228
1598028987,URGENT CARES OF AMERICA NORTH CAROLINA INC.,FASTMED URGENT CARE,3,310 S STRATFORD RD,,WINSTON SALEM,NC,271031820,"310 S STRATFORD RD,WINSTON SALEM,NC 27103",${LNL},3367145399,3364481191
1861755266,URGENT CARES OF AMERICA NORTH CAROLINA INC.,FASTMED URGENT CARE,3,3250 WILKINSON BLVD,SUITE I,CHARLOTTE,NC,282085665,"3250 WILKINSON BLVD,SUITE I,CHARLOTTE,NC 28208",${LNL},7048180369,9808197900
1275827479,"SIMPLE AND QUICK MEDICAL CARE, LLC",,,5520 CONNECTICUT AVE NW,#LL3,WASHINGTON,DC,200152609,"5520 CONNECTICUT AVE NW,#LL3,WASHINGTON,DC 20015",${LNL},2022442607,2022442606
1083992846,SANDIA NATIONAL LABORATORIES,URGENT CARE CLINIC,3,1515 EUBANK BLVD SE,"MS 1019, BLDG. 831",ALBUQUERQUE,NM,871851019,"1515 EUBANK BLVD SE,MS 1019, BLDG. 831,ALBUQUERQUE,NM 87185",${LNL},5058444237,
1689851552,AMERICAN CURRENT CARE PA,,,358 JUNCTION ROAD,,MADISON,WI,537172612,"358 JUNCTION ROAD,MADISON,WI 53717",${LNL},6088291888,6088292818
1881931509,WILDHORSE FAMILY PRACTICE & URGENT CARE,,,1024 W CHEROKEE,,SALLISAW,OK,74955,"1024 W CHEROKEE,SALLISAW,OK 74955",${LNL},9186477829,9186543020
1720315914,"URGENT CARE PHYSICIANS, PC",,,1515 ALLEN ST,,SPRINGFIELD,MA,11181803,"1515 ALLEN ST,SPRINGFIELD,MA 1118",${LNL},4137839114,4137820960
1477897072,METRO URGENT CARE LLC,,,123 CONCORD PLAZA SHOPPING CTR,,SAINT LOUIS,MO,631281307,"123 CONCORD PLAZA SHOPPING CTR,SAINT LOUIS,MO 63128",${LNL},3144161927,
1003150608,"RIVER RIDGE URGENT CARE, LLC",,,9643 JEFFERSON HWY,,RIVER RIDGE,LA,701232509,"9643 JEFFERSON HWY,RIVER RIDGE,LA 70123",${LNL},5047399494,5047399495
1154564110,"HEALTHPARTNERS MEDICAL GROUP, LLC",,,2307 LAPORTE AVE,SUITE 8,VALPARAISO,IN,463836997,"2307 LAPORTE AVE,SUITE 8,VALPARAISO,IN 46383",${LNL},2194768855,2194768840
1720397151,CHILDREN'S HOSPITAL OF MICHIGAN,,,42700 GARFIELD RD SUITE 100,,CLINTON TOWNSHIP,MI,480384201,"42700 GARFIELD RD SUITE 100,CLINTON TOWNSHIP,MI 48038",${LNL},5865323410,
1124214457,GULF COAST AFTER HOURS UPTOWN,,,3510 N CAUSEWAY BLVD STE 300,,METAIRIE,LA,700023531,"3510 N CAUSEWAY BLVD STE 300,METAIRIE,LA 70002",${LNL},5048313112,5048313778
1851725154,"IN AND OUT URGENT CARE, LLC",,,6225 S CLAIBORNE AVE,,NEW ORLEANS,LA,701254105,"6225 S CLAIBORNE AVE,NEW ORLEANS,LA 70125",${LNL},9853779877,9855421724
1821207994,AESTHETIC & MAXILLOFACIAL SURGERY CENTER OF DARIEN PC,,,17 OLD KINGS HIGHWAY SOUTH,,DARIEN,CT,6820,"17 OLD KINGS HIGHWAY SOUTH,DARIEN,CT 06820",${LNL},2036564466,2036564467
1548564446,SOL CITY URGENT CARE PHYSICIANS PLLC,,,11380 GATEWAY BLVD N,,EL PASO,TX,799343380,"11380 GATEWAY BLVD N,EL PASO,TX 79934",${LNL},9157474000,
1063666196,"VALLEY REGIONAL ENTERPRISES, INC",VALLEY HEALTH QUICK CARE,3,33820 OLD VALLEY PIKE,SUITE 2,STRASBURG,VA,226573793,"33820 OLD VALLEY PIKE,SUITE 2,STRASBURG,VA 22657",${LNL},5405362221,5406784170
1528187317,MONOCACY EMERGENCY PHYSICIANS PC,ADVANCED URGENT CARE OF FREDERICK,3,5930 FREDERICK CROSSING LN,,FREDERICK,MD,217045137,"5930 FREDERICK CROSSING LN,FREDERICK,MD 21704",${LNL},2403797776,2403787787
1023455052,"MEDEXPRESS URGENT CARE - NEW JERSEY, INC",MEDEXPRESS URGENT CARE - VINELAND SOUTH,3,3403 S DELSEA DR,,VINELAND,NJ,83607449,"3403 S DELSEA DR,VINELAND,NJ 8360",${LNL},8562936974,8568255165
1841366812,AMELIA URGENT CARE LLC,,,96279 BRADY POINT ROAD,SUITE A,FERNANDINA BEACH,FL,32034,"96279 BRADY POINT ROAD,SUITE A,FERNANDINA BEACH,FL 32034",${LNL},9043210088,9043210016
1083043566,CARESPOT PROFESSIONAL SERVICES OF WEST TENNESSEE PLLC,,,1645 N GERMANTOWN PKWY,,CORDOVA,TN,380165962,"1645 N GERMANTOWN PKWY,CORDOVA,TN 38016",${LNL},9018813459,9016243542
1477724169,"MERCY FAMILY & URGENT CARE,INC","NIERMALA WASHINGTON,M.D.",5,3511 NW 8TH AVE,SUITE 1-2,POMPANO BEACH,FL,330643055,"3511 NW 8TH AVE,SUITE 1-2,POMPANO BEACH,FL 33064",${LNL},9547830621,9547830622
1730421298,SPECTRUM HEALTH PRIMARY CARE PARTNERS,,,3350 BROADMOOR AVE SE,,GRAND RAPIDS,MI,495122867,"3350 BROADMOOR AVE SE,GRAND RAPIDS,MI 49512",${LNL},6163918020,
1043345424,GUILFORD COUNTY DEPARTMENT OF PUBLIC HEALTH,GCDPH PRIMARY CARE,5,501 E GREEN DR,PRIMARY CARE SERVICES,HIGH POINT,NC,272606707,"501 E GREEN DR,PRIMARY CARE SERVICES,HIGH POINT,NC 27260",${LNL},3368457990,3368457987
1215260955,WILLISTON RADIOLOGY CONSULTANTS,FAIRLIGHT MEDICAL CENTER,3,3 4TH ST E,SUITE 201,WILLISTON,ND,588015350,"3 4TH ST E,SUITE 201,WILLISTON,ND 58801",${LNL},7015776337,7015774867
1982910089,"AMERICAN FAMILY CARE, INC.",AMERICAN FAMILY CARE,3,2604 HIGHWAY 31 S,,DECATUR,AL,356031506,"2604 HIGHWAY 31 S,DECATUR,AL 35603",${LNL},2564453050,2564453053
1699814020,"MOUNTAIN MEDICAL PC, LLC",MOUTAIN MEDICAL,3,747 N MAIN ST,SUITE C,MOOREFIELD,WV,268361020,"747 N MAIN ST,SUITE C,MOOREFIELD,WV 26836",${LNL},3045308500,3045308505
1700911104,GUILFORD COUNTY DEPARTMENT OF PUBLIC HEALTH,GCDPH STI SERVICES,5,501 E GREEN DR,STI SERVICES,HIGH POINT,NC,272606707,"501 E GREEN DR,STI SERVICES,HIGH POINT,NC 27260",${LNL},3368457990,3368457987
1710137195,WA-SPOK DH URGENT CARE LLC,,,6208 N COLTON,,SPOKANE,WA,992088100,"6208 N COLTON,SPOKANE,WA 99208",${LNL},5094892372,5094872941
1649334301,CULLMAN HEART & URGENT CARE PC,,,1801 PARKVIEW DR NE,,CULLMAN,AL,350583618,"1801 PARKVIEW DR NE,CULLMAN,AL 35058",${LNL},2567756550,2567756772
1235300914,IHC HEALTH SERVICES INC,HEBER VALLEY URGENT CARE,3,1485 S HIGHWAY 40,,HEBER CITY,UT,840323522,"1485 S HIGHWAY 40,HEBER CITY,UT 84032",${LNL},4356542500,
1922321314,AMERICAN CURRENT CARE OF ARIZONA PA,,,1110 E ROUTE 66,SUITE 100,FLAGSTAFF,AZ,860014771,"1110 E ROUTE 66,SUITE 100,FLAGSTAFF,AZ 86001",${LNL},9287739695,
1104035492,MCLEOD PHYSICIAN ASSOCIATES II,MCLEOD URGENT CARE CENTER,3,3015 WEST PALMETTO STREET,,FLORENCE,SC,295015935,"3015 WEST PALMETTO STREET,FLORENCE,SC 29501",${LNL},8437776870,8437776871
1356785836,NH URGENT CARE MEDICAL GROUP INC,,,6422 1/2 COLDWATER CANYON AVE,,NORTH HOLLYWOOD,CA,916061140,"6422 1/2 COLDWATER CANYON AVE,NORTH HOLLYWOOD,CA 91606",${LNL},8187632801,8187632809
1205013182,AMERICAN CURRENT CARE PA,,,15465 W HOWARD AVE,,NEW BERLIN,WI,531515273,"15465 W HOWARD AVE,NEW BERLIN,WI 53151",${LNL},2627864422,2627865488
1467633412,"GARDEN CITY MEDICAL CENTER, P.C.",,,2020 MIDDLEBELT RD,,GARDEN CITY,MI,481352961,"2020 MIDDLEBELT RD,GARDEN CITY,MI 48135",${LNL},7345223770,7345226114
1982910055,ADVANCED URGENT CARE OF LAWRENCEVILLE LLC,,,111 LAWRENCEVILLE RD,,LAWRENCE TWP,NJ,86484307,"111 LAWRENCEVILLE RD,LAWRENCE TWP,NJ 8648",${LNL},6099432071,6099432077
1538330287,MATRIX OCCUPATIONAL HEALTH INC. D/B/A NEXTCARE URGENT CARE,,,419 EARL RD,,SHELBY,NC,281506700,"419 EARL RD,SHELBY,NC 28150",${LNL},7044810555,
1487880555,NORTHEAST MACOMB URGENT CARE PLLC,,,43900 GARFIELD ROAD,STE #121 NORTHEAST MACOMB URGENT CARE PLLC,CLINTON TWP,MI,480381137,"43900 GARFIELD ROAD,STE #121 NORTHEAST MACOMB URGENT CARE PLLC,CLINTON TWP,MI 48038",${LNL},7344022000,7344022400
1538378864,TANANA CHIEFS CONFERENCE,,,122 1ST AVE,SUITE 600,FAIRBANKS,AK,997014803,"122 1ST AVE,SUITE 600,FAIRBANKS,AK 99701",${LNL},9074528251,
1427267756,TANANA CHIEFS CONFERENCE,,,122 1ST AVE,SUITE 600,FAIRBANKS,AK,997014803,"122 1ST AVE,SUITE 600,FAIRBANKS,AK 99701",${LNL},9074528251,
1336358662,TANANA CHIEFS CONFERENCE,,,122 1ST AVE,SUITE 600,FAIRBANKS,AK,997014803,"122 1ST AVE,SUITE 600,FAIRBANKS,AK 99701",${LNL},9074528251,
1245449578,TANANA CHIEFS CONFERENCE,,,122 1ST AVE,SUITE 600,FAIRBANKS,AK,997014803,"122 1ST AVE,SUITE 600,FAIRBANKS,AK 99701",${LNL},9074528251,
1154530483,TANANA CHIEFS CONFERENCE,,,122 1ST AVE,SUITE 600,FAIRBANKS,AK,997014803,"122 1ST AVE,SUITE 600,FAIRBANKS,AK 99701",${LNL},9074528251,
1326171976,HACKENSACK PRIMARY CARE PA,NORTH JERSEY URGENT CARE,3,344 PROSPECT AVE,SUITE 1 A,HACKENSACK,NJ,76012601,"344 PROSPECT AVE,SUITE 1 A,HACKENSACK,NJ 7601",${LNL},1201646970,1201646959
1417124454,SHIAWASSEE COUNTY MEDICAL GROUP,AFTER HOURS CARE,3,208 N SHIAWASSEE ST,,OWOSSO,MI,488672755,"208 N SHIAWASSEE ST,OWOSSO,MI 48867",${LNL},9897252667,9897252383
1639447303,CIRCE MEDICAL SERVICES LLC,URGENT CARE & SURGERY CENTER CHATTANOOGA,4,1010 E. THIRD ST.,STE. 201,CHATTANOOGA,TN,37403,"1010 E. THIRD ST.,STE. 201,CHATTANOOGA,TN 37403",${LNL},4235310001,4235310002
1407285232,"LAKE ONTARIO PROMPT MEDICAL CARE, PLLC",,,300 STATE ROUTE 104,SUITE 2,OSWEGO,NY,131262956,"300 STATE ROUTE 104,SUITE 2,OSWEGO,NY 13126",${LNL},3153420030,3152166669
1245491646,"CARE UNITED MEDICAL CENTER OF ROCKWALL,PLLC",,,2344 GREENCREST BLVD,,ROCKWALL,TX,750875513,"2344 GREENCREST BLVD,ROCKWALL,TX 75087",${LNL},4696890936,4696890935
1063545622,"TEXAS URGENT CARE ASSOCIATES, P.A.",,,2100 W WILLIAM CANNON DR STE C,,AUSTIN,TX,787454869,"2100 W WILLIAM CANNON DR STE C,AUSTIN,TX 78745",${LNL},5123262243,5123263499
1720311392,"AMERICAN FAMILY CARE, INC.",AMERICAN FAMILY CARE,3,5569 GROVE BOULEVARD,SUITE # 121,HOOVER,AL,352264600,"5569 GROVE BOULEVARD,SUITE # 121,HOOVER,AL 35226",${LNL},2056372600,2056372606
1386977973,"MEDEXPRESS URGENT CARE, PC - PENNSYLVANIA",MEDEXPRESS URGENT CARE - BELLE VERNON,3,860 ROSTRAVER RD,,BELLE VERNON,PA,150121945,"860 ROSTRAVER RD,BELLE VERNON,PA 15012",${LNL},7249293278,7249293110
1205116829,"ANISTA NEW TAMPA, LLC",,,18101 HIGHWOODS PRESERVE PKWY,SUITE 120,TAMPA,FL,336471791,"18101 HIGHWOODS PRESERVE PKWY,SUITE 120,TAMPA,FL 33647",${LNL},8139722900,8139722910
1639431463,"RELIANCE EMERGENT CARE, PLLC","EDEN CARE, PLLC",5,1446 SPAULDING PARK,STE. 101,RICHLAND,WA,993524707,"1446 SPAULDING PARK,STE. 101,RICHLAND,WA 99352",${LNL},5094200423,5094200424
1215123518,HUNTERS CREEK URGENT CARE CENTER,,,3010 HUNTERS CREEK BLVD,,ORLANDO,FL,328376968,"3010 HUNTERS CREEK BLVD,ORLANDO,FL 32837",${LNL},4072400129,4072403693
1750636403,OAKDALE URGENT CARE,,,480 E F ST,,OAKDALE,CA,953614064,"480 E F ST,OAKDALE,CA 95361",${LNL},2098411022,
1053608976,NEW MED LLC,QUICKCARE,3,1702 17TH ST NW,STORE #6,AUSTIN,MN,559126366,"1702 17TH ST NW,STORE #6,AUSTIN,MN 55912",${LNL},5074400767,
1932446655,CENTRAL PALM BEACH PHYSICIANS & URGENT CARE INC,MEDICAL CENTER OF THE PALM BEACHES,3,3702 WASHINGTON ST,SUITE 202,HOLLYWOOD,FL,330218282,"3702 WASHINGTON ST,SUITE 202,HOLLYWOOD,FL 33021",${LNL},5619678888,5616418303
1740416825,MEDICAL 1 URGENT CARE INC,,,4259 10TH AVE N,,LAKE WORTH,FL,334612323,"4259 10TH AVE N,LAKE WORTH,FL 33461",${LNL},5616427770,
1992931018,"QUICK FAMILY URGENTCARE, LLC",,,4301 S FLAMINGO RD,,DAVIE,FL,333301902,"4301 S FLAMINGO RD,DAVIE,FL 33330",${LNL},9546401200,9546401208
1598908584,EMERGENCY PHYSICIANS MEDICAL CENTER LLC,,,2445 SW 76TH ST,SUITE 110,GAINESVILLE,FL,326080350,"2445 SW 76TH ST,SUITE 110,GAINESVILLE,FL 32608",${LNL},3528725111,3528725121
1992921159,"FIRSTCARE MEDICAL, PC",,,222 RTE 299,,HIGHLAND,NY,125280696,"222 RTE 299,HIGHLAND,NY 12528",${LNL},8456913627,8452556873
1962689836,"AMERICAN CURRENT CARE, P.A.",,,1619 NORTH STOUGHTON ROAD,,MADISON,WI,537042603,"1619 NORTH STOUGHTON ROAD,MADISON,WI 53704",${LNL},6082441213,6082445508
1326354440,"TROYER URGENT CARE, INC.",,,1000 N HUMPHREYS ST,SUITE 104,FLAGSTAFF,AZ,860013136,"1000 N HUMPHREYS ST,SUITE 104,FLAGSTAFF,AZ 86001",${LNL},9287793844,9287793848
1093834038,MOUNTAIN MEDICAL URGENT CARE,,,127 EAST MAIN STREET,SUITE E,LEHI,UT,84043,"127 EAST MAIN STREET,SUITE E,LEHI,UT 84043",${LNL},8017681555,8017681569
1528229861,CAL DEVON URGENT CARE INC,,,6415 N CALIFORNIA AVE,,CHICAGO,IL,606455208,"6415 N CALIFORNIA AVE,CHICAGO,IL 60645",${LNL},7732625400,
1154472967,"UCP PHYSICIANS OF CENTRAL TEXAS, PLLC",NEXTCARE URGENT CARE,3,351 CYPRESS CREEK RD,STE 103,CEDAR PARK,TX,786134528,"351 CYPRESS CREEK RD,STE 103,CEDAR PARK,TX 78613",${LNL},4807761600,4807760025
1992976690,FAMILY URGENT CARE PC,,,4700 GREENFIELD RD,,DEARBORN,MI,481264124,"4700 GREENFIELD RD,DEARBORN,MI 48126",${LNL},3139456100,3139455260
1790021376,AIMAN HASSAN MD LLC,PREMIER URGENT CARE CLINIC,3,6036 TRIER RD,,FORT WAYNE,IN,468155337,"6036 TRIER RD,FORT WAYNE,IN 46815",${LNL},2604148285,
1043543655,DADE CITY URGENT CARE CENTER PLLC,,,13933 17TH ST,,DADE CITY,FL,335254603,"13933 17TH ST,DADE CITY,FL 33525",${LNL},3525672758,
1902181563,"PEAK HEALTH AND WELLNESS, PLLC",,,403 W MAIN ST,,BELGRADE,MT,597143847,"403 W MAIN ST,BELGRADE,MT 59714",${LNL},4063888708,
1790060366,PREMIUM HEALTH SERVICES OF TAMPA,EXPRESS CARE OF TAMPA BAY,3,107 W ROBERTSON ST,,BRANDON,FL,335115111,"107 W ROBERTSON ST,BRANDON,FL 33511",${LNL},8136514100,8136514111
1477854024,INSTANT AID LLC,,,1205 W CHESTER PIKE,,WEST CHESTER,PA,193825635,"1205 W CHESTER PIKE,WEST CHESTER,PA 19382",${LNL},6106923001,6106923336
1548536345,"POLLARD CONCIERGE HEALTH & WELLNESS CENTERS, PLLC",ACCESS MEDICAL CENTER,3,8845 W FLAMINGO RD,SUITE 100,LAS VEGAS,NV,891478746,"8845 W FLAMINGO RD,SUITE 100,LAS VEGAS,NV 89147",${LNL},7023677500,
1710319504,LABETTE COUNTY MEDICAL CENTER,EXPRESS CARE RHC,3,2100 COMMERCE DR,,PARSONS,KS,673574951,"2100 COMMERCE DR,PARSONS,KS 67357",${LNL},6204231555,6204233913
1083046874,NORTHFIELD HOSPITAL,URGENT CARE - LAKEVILLE,3,9974 214TH ST W,,LAKEVILLE,MN,550441913,"9974 214TH ST W,LAKEVILLE,MN 55044",${LNL},9529852090,
1861705857,FERGUSON CARE LLC,DOCTORS EXPRESS,3,1860 REISTERSTOWN RD,SUITE A,PIKESVILLE,MD,212081335,"1860 REISTERSTOWN RD,SUITE A,PIKESVILLE,MD 21208",${LNL},4104844044,4107413797
1700938461,MILFORD CLINIC PHYSICIANS P A,MILFORD URGENT CARE,3,111 E CATHARINE ST,SUITE 130,MILFORD,PA,183371389,"111 E CATHARINE ST,SUITE 130,MILFORD,PA 18337",${LNL},5704099700,5704090290
1801137161,FAMILY MEDICAL URGENT CARE PLLC,,,2150 MURFREESBORO PIKE,,NASHVILLE,TN,372173311,"2150 MURFREESBORO PIKE,NASHVILLE,TN 37217",${LNL},6158006585,6158006585
1659698819,"BIRMINGHAM URGENT CARE, P.C.",,,200 ELM ST STE 100,,BIRMINGHAM,MI,480096322,"200 ELM ST STE 100,BIRMINGHAM,MI 48009",${LNL},2484338888,2484338151
1003164211,"MEDEXPRESS URGENT CARE, INC. - WEST VIRGINIA",MEDEXPRESS URGENT CARE - ELM GROVE,3,10 ELM GROVE CROSSING MALL,,WHEELING,WV,260035300,"10 ELM GROVE CROSSING MALL,WHEELING,WV 26003",${LNL},3042424228,3042424256
1841548054,LRGHEALTHCARE,CONVENIENCE CARE,3,80 HIGHLAND ST,,LACONIA,NH,32463235,"80 HIGHLAND ST,LACONIA,NH 3246",${LNL},6035243211,
1487809414,URGENT CARE OF NOVI PC,,,44000 W 12 MILE RD,SUITE 101,NOVI,MI,483772644,"44000 W 12 MILE RD,SUITE 101,NOVI,MI 48377",${LNL},2483743595,2483743640
1114198835,DRS MORRES GIANELLE GOERTZEN & ASSOC PA,CHESAPEAKE MEDICAL SOLUTIONS TA YOUR DOC'S IN,3,2425 N SALISBURY BLVD,,SALISBURY,MD,218012138,"2425 N SALISBURY BLVD,SALISBURY,MD 21801",${LNL},8772224934,
1154601706,PRIMECARE AT TWIN LAKES LLC,,,1890 LPGA BLVD,SUITE 130,DAYTONA BEACH,FL,321177130,"1890 LPGA BLVD,SUITE 130,DAYTONA BEACH,FL 32117",${LNL},3862742212,3862741508
1184874414,CAMBRIDGE MEDICAL CENTER URGENT CARE,CAMBRIDGE MEDICAL CENTER URGENT CARE,3,13624 W CAMINO DEL SOL,SUITE 100,SUN CITY WEST,AZ,853753403,"13624 W CAMINO DEL SOL,SUITE 100,SUN CITY WEST,AZ 85375",${LNL},6232141717,6232142593
1215127972,"MEDFIRST, INC",,,2731B CAPITAL BLVD,,RALEIGH,NC,276041509,"2731B CAPITAL BLVD,RALEIGH,NC 27604",${LNL},9198784647,
1780827758,ALAMO URGENT CARE PLLC,COMPLETE URGENT CARE,3,10628 CULEBRA RD STE 200,,SAN ANTONIO,TX,782511320,"10628 CULEBRA RD STE 200,SAN ANTONIO,TX 78251",${LNL},2105203737,
1851633390,AMC/NORTH FULTON URGENT CARE #3 LLC,MEDPOST URGENT CARE - ATLANTA HIGHWAY,3,5655 ATLANTA HWY,SUITE 1,ALPHARETTA,GA,300045208,"5655 ATLANTA HWY,SUITE 1,ALPHARETTA,GA 30004",${LNL},7703436364,7703436368
1164749339,URGENT CARE CLINIC OF NFC,,,1250 MARVIN HANCOCK DR,,JASPER,TX,759514934,"1250 MARVIN HANCOCK DR,JASPER,TX 75951",${LNL},4093841700,4093841701
1982881652,"HUNTSVILLE FAMILY PRACTICE P.C,",,,2358 WHITESBURG DR S,,HUNTSVILLE,AL,358013830,"2358 WHITESBURG DR S,HUNTSVILLE,AL 35801",${LNL},2565397680,
