provider,state,planid,QA_Apply_page_rate,QA_duration,testprod_Apply_page_rate,Prod_duration,trendFactor,zipcode,Primary_dob,Primary_gender
##LifeShield,hi,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},96818,1/1/1980,F
##LifeShield,ia,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},50317,1/1/1980,F
##LifeShield,id,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},83709,1/1/1980,F
LifeShield,il,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},60629,1/1/1980,F
LifeShield,in,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},46227,1/1/1980,F
##LifeShield,ks,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},66062,1/1/1980,F
LifeShield,ky,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},40214,1/1/1980,F
LifeShield,la,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},70816,1/1/1980,F
##LifeShield,ma,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},2128,1/1/1980,F
##LifeShield,md,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},21215,1/1/1980,F
##LifeShield,me,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},4401,1/1/1980,F
##LifeShield,mi,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},48228,1/1/1980,F
LifeShield,mn,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},55106,1/1/1980,F
LifeShield,mo,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},63129,1/1/1980,F
LifeShield,ms,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},39503,1/1/1980,F
##LifeShield,mt,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},59102,1/1/1980,F
LifeShield,nc,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},28269,1/1/1980,F
##LifeShield,nd,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},58103,1/1/1980,F
##LifeShield,ne,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},68104,1/1/1980,F
##LifeShield,nh,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},3103,1/1/1980,F
##LifeShield,nj,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},8701,1/1/1980,F
##LifeShield,nm,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},87121,1/1/1980,F
LifeShield,nv,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},89110,1/1/1980,F
##LifeShield,ny,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},11226,1/1/1980,F
##LifeShield,oh,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},43228,1/1/1980,F
LifeShield,ok,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},73160,1/1/1980,F
LifeShield,or,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},97229,1/1/1980,F
LifeShield,pa,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},19120,1/1/1980,F
##LifeShield,ri,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},2909,1/1/1980,F
LifeShield,sc,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},29223,1/1/1980,F
LifeShield,sd,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},57106,1/1/1980,F
LifeShield,tn,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},37230,1/1/1980,F
LifeShield,tx,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},79936,1/1/1980,F
##LifeShield,ut,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},84120,1/1/1980,F
LifeShield,va,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},23464,1/1/1980,F
##LifeShield,vt,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},5401,1/1/1980,F
##LifeShield,wa,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},98115,1/1/1980,F
##LifeShield,wi,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},53215,1/1/1980,F
LifeShield,wv,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},25302,1/1/1980,F
##LifeShield,wy,lifeshield-advantage-${state}-5000-20-9000-750000,${Apply_page_QA_rate},${QA_duration},${Apply_page_testprod_rate},${Prod_duration},${trendFactor},82001,1/1/1980,F
