"state","state1","zipcode","planCount","cardinalchoice","legion","coreshield","agileone","slaicohbi","agilesecure"
"New York","NY","11226","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Ohio","OH","43228","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Oklahoma","OK","73160","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Oregon","OR","97229","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Pennsylvania","PA","19120","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Rhode Island","RI","02909","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"South Carolina","SC","29223","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"South Dakota","SD","57106","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Tennessee","TN","37013","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Texas","TX","79936","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Utah","UT","84120","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Virginia","VA","23464","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Vermont","VT","05401","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Washington","WA","98115","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Wisconsin","WI","53215","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"West Virginia","WV","25302","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Wyoming","WY","82001","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
