"provider","state","state1","zip","DOB","PlanName","uri","Deductible_Last_time","Deductible","Coinsurance_Last_time","Coinsurance","MOOP_Last_time","MOOP","Policy Max Out of Pocket'imum Benefit_Last_time","Policy Max Out of Pocket'imum Benefit"
"Companion Protect","Georgia","GA","30044","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Hawaii","HI","96818","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Iowa","IA","50317","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Idaho","ID","83709","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Illinois","IL","60629","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Indiana","IN","46227","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Kansas","KS","66062","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Kentucky","KY","40214","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Louisiana","LA","70816","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Massachusetts","MA","02128","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Maryland","MD","21215","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Maine","ME","04401","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Michigan","MI","48228","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Minnesota","MN","55106","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Missouri","MO","63129","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Mississippi","MS","39503","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Montana","MT","59102","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","North Carolina","NC","28269","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","North Dakota","ND","58103","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Nebraska","NE","68104","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","New Hampshire","NH","03103","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","New Jersey","NJ","08701","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","New Mexico","NM","87121","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Nevada","NV","89110","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","New York","NY","11226","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Ohio","OH","43228","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Oklahoma","OK","73160","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Oregon","OR","97229","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Pennsylvania","PA","19120","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Rhode Island","RI","02909","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","South Carolina","SC","29223","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","South Dakota","SD","57106","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Tennessee","TN","37013","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Texas","TX","79936","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Utah","UT","84120","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Virginia","VA","23464","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Vermont","VT","05401","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Washington","WA","98115","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Wisconsin","WI","53215","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","West Virginia","WV","25302","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Wyoming","WY","82001","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
