"provider","state","planid","QA_Apply_page_rate","testprod_Apply_page_rate","zipcode","Primary_dob","Primary_gender"
"AdvantHealth Plan2","ok","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","73160","1/1/1980","F"
"##AdvantHealth Plan2","or","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","97229","1/1/1980","F"
"##AdvantHealth Plan2","pa","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","19120","1/1/1980","F"
"##AdvantHealth Plan2","ri","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","02909","1/1/1980","F"
"##AdvantHealth Plan2","sc","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","29223","1/1/1980","F"
"##AdvantHealth Plan2","sd","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","57106","1/1/1980","F"
"##AdvantHealth Plan2","tn","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","37230","1/1/1980","F"
"AdvantHealth Plan2","tx","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","79936","1/1/1980","F"
"##AdvantHealth Plan2","ut","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","84120","1/1/1980","F"
"##AdvantHealth Plan2","va","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","23464","1/1/1980","F"
"##AdvantHealth Plan2","vt","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","05401","1/1/1980","F"
"##AdvantHealth Plan2","wa","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","98115","1/1/1980","F"
"AdvantHealth Plan2","wi","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","53215","1/1/1980","F"
"##AdvantHealth Plan2","wv","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","25302","1/1/1980","F"
"##AdvantHealth Plan2","wy","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","82001","1/1/1980","F"
