"state","zipcode","provider","planname","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26"
"NJ","08701","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"NM","87121","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"NV","89110","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"NY","11226","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"OH","43228","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"OK","73160","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"OR","97229","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"PA","19120","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"RI","02909","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"SC","29223","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"SD","57106","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"TN","37230","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"TX","79936","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"UT","84120","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"VA","23464","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"VT","05401","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"WA","98115","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"WI","53215","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"WV","25302","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"WY","82001","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
