"provider","state","Plan_name","quote_QA_rate","QA_Apply_page_rate","quote_testprod_rate","testprod_Apply_page_rate","zipcode","Primary_dob","Primary_gender"
"##Chubb","hi","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","96818","1/1/1980","F"
"##Chubb","ia","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","50317","1/1/1980","F"
"##Chubb","id","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","83709","1/1/1980","F"
"Chubb","il","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","60629","1/1/1980","F"
"##Chubb","in","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","46227","1/1/1980","F"
"##Chubb","ks","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","66062","1/1/1980","F"
"Chubb","ky","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","40214","1/1/1980","F"
"##Chubb","la","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","70816","1/1/1980","F"
"##Chubb","ma","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","2128","1/1/1980","F"
"##Chubb","md","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","21215","1/1/1980","F"
"##Chubb","me","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","4401","1/1/1980","F"
"##Chubb","mi","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","48228","1/1/1980","F"
"##Chubb","mn","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","55106","1/1/1980","F"
"##Chubb","mo","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","63129","1/1/1980","F"
"Chubb","ms","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","39503","1/1/1980","F"
"##Chubb","mt","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","59102","1/1/1980","F"
"##Chubb","nc","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","28269","1/1/1980","F"
"Chubb","nd","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","58103","1/1/1980","F"
"Chubb","ne","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","68104","1/1/1980","F"
"##Chubb","nh","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","3103","1/1/1980","F"
"##Chubb","nj","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","8701","1/1/1980","F"
"Chubb","nm","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","87121","1/1/1980","F"
"Chubb","nv","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","89110","1/1/1980","F"
"##Chubb","ny","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","11226","1/1/1980","F"
"Chubb","oh","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","43228","1/1/1980","F"
"Chubb","ok","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","73160","1/1/1980","F"
"##Chubb","or","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","97229","1/1/1980","F"
"Chubb","pa","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","19120","1/1/1980","F"
"##Chubb","ri","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","2909","1/1/1980","F"
"##Chubb","sc","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","29223","1/1/1980","F"
"##Chubb","sd","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","57106","1/1/1980","F"
"##Chubb","tn","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","37230","1/1/1980","F"
"Chubb","tx","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","79936","1/1/1980","F"
"##Chubb","ut","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","84120","1/1/1980","F"
"Chubb","va","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","23464","1/1/1980","F"
"##Chubb","vt","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","5401","1/1/1980","F"
"##Chubb","wa","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","98115","1/1/1980","F"
"Chubb","wi","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","53215","1/1/1980","F"
"##Chubb","wv","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","25302","1/1/1980","F"
"##Chubb","wy","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","82001","1/1/1980","F"
