"state","state1","zipcode","PlanName","Text1"
"##New Jersey","NJ","8701","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 61 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##New Mexico","NM","87121","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 62 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Nevada","NV","89110","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 63 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##New York","NY","11226","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 64 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Ohio","OH","43228","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 65 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Oklahoma","OK","73160","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 66 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Oregon","OR","97229","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 67 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Pennsylvania","PA","19120","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 68 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Rhode Island","RI","2909","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 69 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##South Carolina","SC","29223","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 70 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##South Dakota","SD","57106","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 71 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Tennessee","TN","37013","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 72 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Texas","TX","79936","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 73 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Utah","UT","84120","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 74 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Virginia","VA","23464","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 75 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Vermont","VT","5401","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 76 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Washington","WA","98115","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 77 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Wisconsin","WI","53215","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 78 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"West Virginia","WV","25302","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 79 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Wyoming","WY","82001","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 80 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
