ENV,url,state,city_name,zipcode,city,mc_city,mc_banner,banner,quote,detail,apply,doc,mc_doc,st,seo,dt,ihc,mc_docker,ifp_docker,dental,sbg,ifp_banner
www,http://www.healthpocket.com/?affiliate=healthcarebluebook_com_prod,California,Los Angeles,90001,(800) 983-4702,(800) 983-4702,(800) 983-4702,(800) 983-4702,(800) 983-4702,(800) 983-4702,(800) 983-4702,(800) 983-4702,(800) 983-4702,(800) 983-4702,(800) 983-4702,(800) 983-4702,(800) 983-4702,(800) 983-4702,(800) 983-4702,(800) 983-4702,(800) 983-4702,(800) 983-4702
www,http://www.healthpocket.com/?affiliate=healthcarebluebook_com_prod,Alaska,Anchorage,99504,(800) 983-4702,(800) 983-4702,(800) 983-4702,(800) 983-4702,(800) 983-4702,(800) 983-4702,(800) 983-4702,(800) 983-4702,(800) 983-4702,(800) 983-4702,(800) 983-4702,(800) 983-4702,(800) 983-4702,(800) 983-4702,(800) 983-4702,(800) 983-4702,(800) 983-4702,(800) 983-4702
www,http://www.healthpocket.com/?affiliate=my_medicare_supplemental,California,Los Angeles,90001,(800) 986-3820,(800) 986-3820,(800) 986-3820,(800) 986-3820,(800) 986-3820,(800) 986-3820,(800) 986-3820,(800) 986-3820,(800) 986-3820,(800) 986-3820,(800) 986-3820,(800) 986-3820,(800) 986-3820,(800) 986-3820,(800) 986-3820,(800) 986-3820,(800) 986-3820,(800) 986-3820
www,http://www.healthpocket.com/?affiliate=my_medicare_supplemental,Alaska,Anchorage,99504,(800) 986-3820,(800) 986-3820,(800) 986-3820,(800) 986-3820,(800) 986-3820,(800) 986-3820,(800) 986-3820,(800) 986-3820,(800) 986-3820,(800) 986-3820,(800) 986-3820,(800) 986-3820,(800) 986-3820,(800) 986-3820,(800) 986-3820,(800) 986-3820,(800) 986-3820,(800) 986-3820
www,http://www.healthpocket.com/?affiliate=medicare_supplemental,California,Los Angeles,90001,(800) 984-0581,(800) 984-0581,(800) 984-0581,(800) 984-0581,(800) 984-0581,(800) 984-0581,(800) 984-0581,(800) 984-0581,(800) 984-0581,(800) 984-0581,(800) 984-0581,(800) 984-0581,(800) 984-0581,(800) 984-0581,(800) 984-0581,(800) 984-0581,(800) 984-0581,(800) 984-0581
www,http://www.healthpocket.com/?affiliate=medicare_supplemental,Alaska,Anchorage,99504,(800) 984-0581,(800) 984-0581,(800) 984-0581,(800) 984-0581,(800) 984-0581,(800) 984-0581,(800) 984-0581,(800) 984-0581,(800) 984-0581,(800) 984-0581,(800) 984-0581,(800) 984-0581,(800) 984-0581,(800) 984-0581,(800) 984-0581,(800) 984-0581,(800) 984-0581,(800) 984-0581
www,http://www.healthpocket.com/?affiliate=national_seniors_coalition,California,Los Angeles,90001,(800) 983-8163,(800) 983-8163,(800) 983-8163,(800) 983-8163,(800) 983-8163,(800) 983-8163,(800) 983-8163,(800) 983-8163,(800) 983-8163,(800) 983-8163,(800) 983-8163,(800) 983-8163,(800) 983-8163,(800) 983-8163,(800) 983-8163,(800) 983-8163,(800) 983-8163,(800) 983-8163
www,http://www.healthpocket.com/?affiliate=national_seniors_coalition,Alaska,Anchorage,99504,(800) 983-8163,(800) 983-8163,(800) 983-8163,(800) 983-8163,(800) 983-8163,(800) 983-8163,(800) 983-8163,(800) 983-8163,(800) 983-8163,(800) 983-8163,(800) 983-8163,(800) 983-8163,(800) 983-8163,(800) 983-8163,(800) 983-8163,(800) 983-8163,(800) 983-8163,(800) 983-8163
www,http://www.healthpocket.com/?affiliate=judsonmedia_prod,California,Los Angeles,90001,(800) 403-9435,(800) 403-9435,(800) 403-9435,(800) 403-9435,(800) 403-9435,(800) 403-9435,(800) 403-9435,(800) 403-9435,(800) 403-9435,(800) 403-9435,(800) 403-9435,(800) 403-9435,(800) 403-9435,(800) 403-9435,(800) 403-9435,(800) 403-9435,(800) 403-9435,(800) 403-9435
www,http://www.healthpocket.com/?affiliate=judsonmedia_prod,Alaska,Anchorage,99504,(800) 403-9435,(800) 403-9435,(800) 403-9435,(800) 403-9435,(800) 403-9435,(800) 403-9435,(800) 403-9435,(800) 403-9435,(800) 403-9435,(800) 403-9435,(800) 403-9435,(800) 403-9435,(800) 403-9435,(800) 403-9435,(800) 403-9435,(800) 403-9435,(800) 403-9435,(800) 403-9435
www,http://www.healthpocket.com/?affiliate=niemann_foods,California,Los Angeles,90001,(800) 756-2460,(800) 756-2460,(800) 756-2460,(800) 756-2460,(800) 756-2460,(800) 756-2460,(800) 756-2460,(800) 756-2460,(800) 756-2460,(800) 756-2460,(800) 756-2460,(800) 756-2460,(800) 756-2460,(800) 756-2460,(800) 756-2460,(800) 756-2460,(800) 756-2460,(800) 756-2460
www,http://www.healthpocket.com/?affiliate=niemann_foods,Alaska,Anchorage,99504,(800) 756-2460,(800) 756-2460,(800) 756-2460,(800) 756-2460,(800) 756-2460,(800) 756-2460,(800) 756-2460,(800) 756-2460,(800) 756-2460,(800) 756-2460,(800) 756-2460,(800) 756-2460,(800) 756-2460,(800) 756-2460,(800) 756-2460,(800) 756-2460,(800) 756-2460,(800) 756-2460
www,http://www.healthpocket.com/?affiliate=HII_Velocity_Prod,California,Los Angeles,90001,(800) 942-1489,(800) 942-1489,(800) 942-1489,(800) 942-1489,(800) 942-1489,(800) 942-1489,(800) 942-1489,(800) 942-1489,(800) 942-1489,(800) 942-1489,(800) 942-1489,(800) 942-1489,(800) 942-1489,(800) 942-1489,(800) 942-1489,(800) 942-1489,(800) 942-1489,(800) 942-1489
www,http://www.healthpocket.com/?affiliate=HII_Velocity_Prod,Alaska,Anchorage,99504,(800) 942-1489,(800) 942-1489,(800) 942-1489,(800) 942-1489,(800) 942-1489,(800) 942-1489,(800) 942-1489,(800) 942-1489,(800) 942-1489,(800) 942-1489,(800) 942-1489,(800) 942-1489,(800) 942-1489,(800) 942-1489,(800) 942-1489,(800) 942-1489,(800) 942-1489,(800) 942-1489
