"city_name","state","state1","zipcode","Q1","Q2","Q3","Q4","Q5","plan name"
"Honolulu","Hawaii","HI","96818","1. Will any applicant have other health insurance in force on the policy effective date?","2. 	Are you or any applicant: Now pregnant, an expectant father, in process of adoption, or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. Within the last 5 years has any applicant been diagnosed, treated, or taken medication for or experienced signs or symptoms of any of the following:  cancer or tumor, stroke, heart disease including heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease) or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge, rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuse or chemical dependency, or any neurological disorder?","4. 	Within the last 5 years has any applicant been diagnosed or treated by a physician or medical practitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for Human Immunodeficiency Virus (HIV)?","5. 	If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"Boise","Idaho","ID","83709","1. Will any applicant have other health insurance in force on the policy effective date or be eligible for Medicaid?","2. 	Are you or any applicant: Now pregnant, an expectant father, in process of adoption, or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. Within the last 5 years has any applicant been diagnosed, treated, or taken medication for or experienced signs or symptoms of any of the following:  cancer or tumor, stroke, heart disease including heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease) or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge, rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuse or chemical dependency, or any neurological disorder?","4. 	Within the last 5 years has any applicant been diagnosed or treated by a physician or medical practitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for Human Immunodeficiency Virus (HIV)?","5. 	If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"Chicago","Illinois","IL","60629","1. Will any applicant have other health insurance in force on the policy effective date or be eligible for Medicaid?","2. Are you or any applicant: Now pregnant, an expectant father, in process of adoption, or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. Within the last 5 years has any applicant been diagnosed, treated, or taken medication for or experienced signs or symptoms of any of the following:  cancer or tumor, stroke, heart disease including heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease) or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge, rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuse or chemical dependency, or any neurological disorder?","4. Within the last 5 years has any applicant been diagnosed or treated by a physician or medical practitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for Human Immunodeficiency Virus (HIV)?  Residents of WI do not need to disclose HIV test results.","5. If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"Indianapolis","Indiana","IN","46227","1. Will any applicant have other health insurance in force on the policy effective date or be eligible for Medicaid?","2. Are you or any applicant: Now pregnant, an expectant father, in process of adoption, or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. Within the last 5 years has any applicant been diagnosed, treated, or taken medication for any of the following:  cancer or tumor, stroke, heart disease including heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease) or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge, rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuse or chemical dependency, or any neurological disorder?","4. Within the last 5 years has any applicant been diagnosed or treated by a physician or medical practitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for Human Immunodeficiency Virus (HIV)?  Residents of WI do not need to disclose HIV test results.","5. If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"Wichita","Kansas","KS","66062","1. Will any applicant have other health insurance in force on the policy effective date?","2. 	Are you or any applicant: Now pregnant, an expectant father, in process of adoption, or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. Within the last 5 years has any applicant been diagnosed, treated, or taken medication for or experienced signs or symptoms of any of the following:  cancer or tumor, stroke, heart disease including heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease) or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge, rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuse or chemical dependency, or any neurological disorder?","4. 	Within the last 5 years has any applicant been diagnosed or treated by a physician or medical practitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for Human Immunodeficiency Virus (HIV)?","5. 	If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"Louisville","Kentucky","KY","40214","1. Will any applicant have other health insurance in force on the policy effective date?  List any health insurance policies you currently have in force by name of insurer and amount of insurance:","2. 	Are you or any applicant: Now pregnant, an expectant father, in process of adoption, or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. Within the last 5 years has any applicant been diagnosed or treated for any of the following:  cancer or tumor, stroke, heart disease including heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease) or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge, rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuse or chemical dependency, or any neurological disorder?","4. Within the last 5 years has any applicant tested positive for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for Human Immunodeficiency Virus (HIV)?","5. If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"##New Orleans","Louisiana","LA","70816","1. Will any applicant have other health insurance in force on the policy effective date or be eligible for Medicaid?","2. Are you or any applicant: Now pregnant, an expectant father, in process of adoption, or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. Within the last 5 years has any applicant been diagnosed, treated, or taken medication for or experienced signs or symptoms of any of the following:  cancer or tumor, stroke, heart disease including heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease) or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge, rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuse or chemical dependency, or any neurological disorder?","4. Within the last 5 years has any applicant been diagnosed or treated by a physician or medical practitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for Human Immunodeficiency Virus (HIV)?  Residents of WI do not need to disclose HIV test results.","5. If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"##Portland","Maine","ME","04401","1. Will any applicant have other health insurance in force on the policy effective date or be eligible for Medicaid?","2. Are you or any applicant: Now pregnant, an expectant father, in process of adoption, or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. Within the last 5 years has any applicant been diagnosed, treated, or taken medication for or experienced signs or symptoms of any of the following:  cancer or tumor, stroke, heart disease including heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease) or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge, rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuse or chemical dependency, or any neurological disorder?","4. Within the last 5 years has any applicant been diagnosed or treated by a physician or medical practitioner for Acquired Immune Deficiency Syndrome (AIDS)?  Answer ��NO�� if you have tested positive for HIV but have not developed symptoms of the disease AIDS or ARC.","5. If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"##Kansas City","Missouri","MO","63129","1. Will any applicant have other health insurance in force on the policy effective date or be eligible for Medicaid?","2. 	Are you or any applicant: Now pregnant, an expectant father, in process of adoption, or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. 	Within the last 5 years has any applicant been diagnosed, treated, or taken medication for or experienced signs or symptoms of any of the following:  cancer or tumor, stroke, heart disease including heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease) or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge, rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuse or chemical dependency, or any neurological disorder?","4. 	Within the last 5 years has any applicant been diagnosed or treated by a physician or medical practitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for Human Immunodeficiency Virus (HIV)?  Residents of WI do not need to disclose HIV test results.","5. 	If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"##Billings","Montana","MT","59102","1. Will any applicant have other health insurance in force on the policy effective date or be eligible for Medicaid?","2. 	Are you or any applicant: Now pregnant, an expectant father, in process of adoption, or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. 	Within the last 5 years has any applicant been diagnosed, treated, or taken medication for or experienced signs or symptoms of any of the following:  cancer or tumor, stroke, heart disease including heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease) or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge, rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuse or chemical dependency, or any neurological disorder?","4. 	Within the last 5 years has any applicant been diagnosed or treated by a physician or medical practitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for Human Immunodeficiency Virus (HIV)?","5. 	If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"##Omaha","Nebraska","NE","68104","1. Will any applicant have other health insurance in force on the policy effective date or be eligible for Medicaid?","2. 	Are you or any applicant: Now pregnant, an expectant father, in process of adoption, or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. 	Within the last 5 years has any applicant been diagnosed, treated, or taken medication for any of the following:  cancer or tumor, stroke, heart disease including heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease) or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge, rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuse or chemical dependency, or any neurological disorder?","4. 	Within the last 5 years has any applicant been diagnosed or treated by a physician or medical practitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for Human Immunodeficiency Virus (HIV)?","5. 	If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"##Oklahoma City","Oklahoma","OK","73160","1. Will any applicant have other health insurance in force on the policy effective date or be eligible for Medicaid? If so, do you intend to replace your current accident and sickness insurance with this policy (contract)?","2. Are you or any applicant: Now pregnant, an expectant father, in process of adoption, or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. Within the last 5 years has any applicant been diagnosed, treated, or taken medication for or experienced signs or symptoms of any of the following:  cancer or tumor, stroke, heart disease including heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease) or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge, rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuse or chemical dependency, or any neurological disorder?","4. Within the last 5 years has any applicant been diagnosed or treated by a physician or medical practitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for Human Immunodeficiency Virus (HIV)?  Residents of WI do not need to disclose HIV test results.","5. If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"##Portland","Oregon","OR","97229","1. Will any applicant have other health insurance in force on the policy effective date or be eligible for Medicaid?","2. Are you or any applicant: Now pregnant, an expectant father, in process of adoption, or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. Within the last 5 years has any applicant been diagnosed, treated, or taken medication for or experienced signs or symptoms of any of the following:  cancer or tumor, stroke, heart disease including heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease) or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge, rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuse or chemical dependency, or any neurological disorder?","4. Within the last 5 years has any applicant been diagnosed or treated by a physician or medical practitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for Human Immunodeficiency Virus (HIV)?","5. If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"##Columbia","South Carolina","SC","29223","1. Will any applicant have other health insurance in force on the policy effective date or be eligible for Medicaid?","2. 	Are you or any applicant: Now pregnant or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. 	Within the last 5 years has any applicant been diagnosed, treated, or taken medication for or experienced signs or symptoms of any of the following:  cancer or tumor, stroke, heart disease including heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease) or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge, rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuse or chemical dependency, or any neurological disorder?","4. 	Within the last 5 years has any applicant been diagnosed or treated by a physician or medical practitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for Human Immunodeficiency Virus (HIV)?","5. 	If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"##Sioux Falls","South Dakota","SD","57106","1. Will any applicant have other health insurance in force on the policy effective date or be eligible for Medicaid?","2. 	Are you or any applicant: Now pregnant, an expectant father, in process of adoption, or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. 	Within the last 5 years has any applicant been diagnosed, treated, or taken medication for or experienced signs or symptoms of any of the following:  cancer or tumor, stroke, heart disease including heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease) or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge, rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuse or chemical dependency, or any neurological disorder?","4. 	Within the last 5 years has any applicant been diagnosed or treated by a physician or medical practitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for Human Immunodeficiency Virus (HIV)?","5. 	If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"##Memphis","Tennessee","TN","37013","1. Will any applicant have other health insurance in force on the policy effective date or be eligible for Medicaid?","2. 	Are you or any applicant: Now pregnant, an expectant father, in process of adoption, or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. 	Within the last 5 years has any applicant been diagnosed, treated, or taken medication for or experienced signs or symptoms of any of the following:  cancer or tumor, stroke, heart disease including heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease) or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge, rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuse or chemical dependency, or any neurological disorder?","4. 	Within the last 5 years has any applicant been diagnosed or treated by a physician or medical practitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for Human Immunodeficiency Virus (HIV)?","5. If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
