"provider","state","state1","zip","DOB","Question1","Question2","Question3","Question4","Question5","Question6","Question7","Question8"
"##IHC Group","Nevada","NV","89110","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","New York","NY","11226","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Ohio","OH","43228","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Oklahoma","OK","73160","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Oregon","OR","97229","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Pennsylvania","PA","19120","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Rhode Island","RI","2909","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","South Carolina","SC","29223","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","South Dakota","SD","57106","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Tennessee","TN","37013","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Texas","TX","79936","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Utah","UT","84120","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Virginia","VA","23464","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Vermont","VT","5401","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Washington","WA","98115","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Wisconsin","WI","53215","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","West Virginia","WV","25302","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Wyoming","WY","82001","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
