"provider","state","planid","QA_Apply_page_rate","QA_Apply_page_fee","QA_duration","testprod_Apply_page_rate","testprod_Apply_page_fee","Prod_duration","Diff","zipcode","Primary_dob","Primary_gender","PLID"
"Everest","il","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","60629","1/1/1980","F","spark"
"Everest","in","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","46227","1/1/1980","F","spark"
"##Everest","ks","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","66062","1/1/1980","F","spark"
"##Everest","ky","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","40214","1/1/1980","F","spark"
"Everest","la","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","70816","1/1/1980","F","spark"
"##Everest","ma","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","02128","1/1/1980","F","spark"
"##Everest","md","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","21215","1/1/1980","F","spark"
"##Everest","me","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","04401","1/1/1980","F","spark"
"##Everest","mi","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","48228","1/1/1980","F","spark"
"Everest","mn","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","55106","1/1/1980","F","spark"
"Everest","mo","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","63129","1/1/1980","F","spark"
"Everest","ms","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","39503","1/1/1980","F","spark"
"##Everest","mt","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","59102","1/1/1980","F","spark"
"Everest","nc","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","28269","1/1/1980","F","spark"
"##Everest","nd","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","58103","1/1/1980","F","spark"
"Everest","ne","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","68104","1/1/1980","F","spark"
"Everest","nh","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","03103","1/1/1980","F","spark"
"##Everest","nj","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","08701","1/1/1980","F","spark"
"##Everest","nm","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","87121","1/1/1980","F","spark"
"Everest","nv","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","89110","1/1/1980","F","spark"
"##Everest","ny","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","11226","1/1/1980","F","spark"
"Everest","oh","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","43228","1/1/1980","F","spark"
"Everest","ok","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","73160","1/1/1980","F","spark"
"Everest","or","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","97229","1/1/1980","F","spark"
"Everest","pa","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","19120","1/1/1980","F","spark"
"##Everest","ri","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","02909","1/1/1980","F","spark"
"Everest","sc","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","29223","1/1/1980","F","spark"
"Everest","sd","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","57106","1/1/1980","F","spark"
"Everest","tn","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","37230","1/1/1980","F","spark"
"Everest","tx","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","79936","1/1/1980","F","spark"
"##Everest","ut","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","84120","1/1/1980","F","spark"
"Everest","va","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","23464","1/1/1980","F","spark"
"##Everest","vt","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","05401","1/1/1980","F","spark"
"##Everest","wa","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","98115","1/1/1980","F","spark"
"Everest","wi","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","53215","1/1/1980","F","spark"
"Everest","wv","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","25302","1/1/1980","F","spark"
"Everest","wy","everest-${state}-2500-30-7500-1500000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","82001","1/1/1980","F","spark"
