"city_name","state","state1","zipcode","Q1","Q2","Q3","Q4","Q5","Q6","Q7","plan name"
"Indianapolis","Indiana","IN","46227","Are you or is any family member (whether or not named) an expectant mother or father in the process of adopting a child or undergoing infertility treatment? If yes coverage cannot be issued.","Have you or anyone named been declined for insurance due to health reasons? (The person(s) named will not be covered under the policy/certificate.)","Have you or any person named lived in the 50 states of the USA or the District of Columbia for less than the past 12 months? (The person(s) named will not be covered under the policy/certificate.)","Do you or any person named now have hospital or medical expense insurance that will not terminate prior to the requested effective date? (The person(s) named will not be covered under the policy/certificate)","Within the last 5 years have you or anyone named received medical or surgical consultation advice or treatment including medication for any of the following: liver disorders kidney disorders chronic obstructive pulmonary disorder (COPD) or emphysema diabetes cancer heart or circulatory system disorders (excluding high blood pressure) Crohn's disease or ulcerative colitis or alcohol or drug abuse or immune system disorders? (The person(s) named will not be covered under the policy/certificate.)","Within the last 5 years have you or has anyone named received treatment advice medication or surgical consultation for HIV infection from a doctor or other licensed clinical professional or had a positive test for HIV infection performed by a doctor or other licensed clinical professional? (The person(s) name will not be covered under the policy/certificate.)","${Q7}","${plan}"
"##Wichita","Kansas","KS","66062","Are you or is any family member (whether or not named) an expectant mother or father in the process of adopting a child or undergoing infertility treatment? If yes coverage cannot be issued.","Have you or anyone named been declined for insurance due to health reasons? (The person(s) named will not be covered under the policy/certificate.)","Have you or any person named lived in the 50 states of the USA or the District of Columbia for less than the past 12 months? (The person(s) named will not be covered under the policy/certificate.)","Do you or any person named now have hospital or medical expense insurance that will not terminate prior to the requested effective date? (The person(s) named will not be covered under the policy/certificate)","Within the last 5 years have you or anyone named received medical or surgical consultation advice or treatment including medication for any of the following: liver disorders kidney disorders chronic obstructive pulmonary disorder (COPD) or emphysema diabetes cancer heart or circulatory system disorders (excluding high blood pressure) Crohn's disease or ulcerative colitis or alcohol or drug abuse or immune system disorders? (The person(s) named will not be covered under the policy/certificate.)","Within the last 5 years have you or has anyone named received treatment advice medication or surgical consultation for HIV infection from a doctor or other licensed clinical professional or had a positive test for HIV infection performed by a doctor or other licensed clinical professional? (The person(s) name will not be covered under the policy/certificate.)","${Q7}","${plan}"
"Louisville","Kentucky","KY","40214","Are you or is any family member (whether or not named) an expectant mother or father in the process of adopting a child or undergoing infertility treatment? If yes coverage cannot be issued.","Have you or anyone named been declined for insurance due to health reasons? (The person(s) named will not be covered under the policy/certificate.)","Have you or any person named lived in the 50 states of the USA or the District of Columbia for less than the past 12 months? (The person(s) named will not be covered under the policy/certificate.)","Do you or any person named now have hospital or medical expense insurance that will not terminate prior to the requested effective date? (The person(s) named will not be covered under the policy/certificate)","Within the last 5 years have you or anyone named received medical or surgical consultation advice or treatment including medication for any of the following: liver disorders kidney disorders chronic obstructive pulmonary disorder (COPD) or emphysema diabetes cancer heart or circulatory system disorders (excluding high blood pressure) Crohn's disease or ulcerative colitis or alcohol or drug abuse or immune system disorders? (The person(s) named will not be covered under the policy/certificate.)","Within the last 5 years have you or has anyone named received treatment advice medication or surgical consultation for HIV infection from a doctor or other licensed clinical professional or had a positive test for HIV infection performed by a doctor or other licensed clinical professional? (The person(s) name will not be covered under the policy/certificate.)","${Q7}","${plan}"
"New Orleans","Louisiana","LA","70816","Are you or is any family member (whether or not named) an expectant mother or father in the process of adopting a child or undergoing infertility treatment? If yes coverage cannot be issued.","Have you or anyone named been declined for insurance due to health reasons? (The person(s) named will not be covered under the policy/certificate.)","Have you or any person named lived in the 50 states of the USA or the District of Columbia for less than the past 12 months? (The person(s) named will not be covered under the policy/certificate.)","Do you or any person named now have hospital or medical expense insurance that will not terminate prior to the requested effective date? (The person(s) named will not be covered under the policy/certificate)","Within the last 5 years have you or anyone named received medical or surgical consultation advice or treatment including medication for any of the following: liver disorders kidney disorders chronic obstructive pulmonary disorder (COPD) or emphysema diabetes cancer heart or circulatory system disorders (excluding high blood pressure) Crohn's disease or ulcerative colitis or alcohol or drug abuse or immune system disorders? (The person(s) named will not be covered under the policy/certificate.)","Within the last 5 years have you or has anyone named received treatment advice medication or surgical consultation for HIV infection from a doctor or other licensed clinical professional or had a positive test for HIV infection performed by a doctor or other licensed clinical professional? (The person(s) name will not be covered under the policy/certificate.)","${Q7}","${plan}"
"##Boston","Massachusetts","MA","02128","Are you or is any family member (whether or not named) an expectant mother or father in the process of adopting a child or undergoing infertility treatment? If yes coverage cannot be issued.","Have you or anyone named been declined for insurance due to health reasons? (The person(s) named will not be covered under the policy/certificate.)","Have you or any person named lived in the 50 states of the USA or the District of Columbia for less than the past 12 months? (The person(s) named will not be covered under the policy/certificate.)","Do you or any person named now have hospital or medical expense insurance that will not terminate prior to the requested effective date? (The person(s) named will not be covered under the policy/certificate)","Within the last 5 years have you or anyone named received medical or surgical consultation advice or treatment including medication for any of the following: liver disorders kidney disorders chronic obstructive pulmonary disorder (COPD) or emphysema diabetes cancer heart or circulatory system disorders (excluding high blood pressure) Crohn's disease or ulcerative colitis or alcohol or drug abuse or immune system disorders? (The person(s) named will not be covered under the policy/certificate.)","Within the last 5 years have you or has anyone named received treatment advice medication or surgical consultation for HIV infection from a doctor or other licensed clinical professional or had a positive test for HIV infection performed by a doctor or other licensed clinical professional? (The person(s) name will not be covered under the policy/certificate.)","${Q7}","${plan}"
"##Baltimore","Maryland","MD","21215","Are you or is any family member (whether or not named) an expectant mother or father in the process of adopting a child or undergoing infertility treatment? If yes coverage cannot be issued.","Have you or anyone named been declined for insurance due to health reasons? (The person(s) named will not be covered under the policy/certificate.)","Have you or any person named lived in the 50 states of the USA or the District of Columbia for less than the past 12 months? (The person(s) named will not be covered under the policy/certificate.)","Do you or any person named now have hospital or medical expense insurance that will not terminate prior to the requested effective date? (The person(s) named will not be covered under the policy/certificate)","Within the last 5 years have you or anyone named received medical or surgical consultation advice or treatment including medication for any of the following: liver disorders kidney disorders chronic obstructive pulmonary disorder (COPD) or emphysema diabetes cancer heart or circulatory system disorders (excluding high blood pressure) Crohn's disease or ulcerative colitis or alcohol or drug abuse or immune system disorders? (The person(s) named will not be covered under the policy/certificate.)","Within the last 5 years have you or has anyone named received treatment advice medication or surgical consultation for HIV infection from a doctor or other licensed clinical professional or had a positive test for HIV infection performed by a doctor or other licensed clinical professional? (The person(s) name will not be covered under the policy/certificate.)","${Q7}","${plan}"
"##Portland","Maine","ME","04401","Are you or is any family member (whether or not named) an expectant mother or father in the process of adopting a child or undergoing infertility treatment? If yes coverage cannot be issued.","Have you or anyone named been declined for insurance due to health reasons? (The person(s) named will not be covered under the policy/certificate.)","Have you or any person named lived in the 50 states of the USA or the District of Columbia for less than the past 12 months? (The person(s) named will not be covered under the policy/certificate.)","Do you or any person named now have hospital or medical expense insurance that will not terminate prior to the requested effective date? (The person(s) named will not be covered under the policy/certificate)","Within the last 5 years have you or anyone named received medical or surgical consultation advice or treatment including medication for any of the following: liver disorders kidney disorders chronic obstructive pulmonary disorder (COPD) or emphysema diabetes cancer heart or circulatory system disorders (excluding high blood pressure) Crohn's disease or ulcerative colitis or alcohol or drug abuse or immune system disorders? (The person(s) named will not be covered under the policy/certificate.)","Within the last 5 years have you or has anyone named received treatment advice medication or surgical consultation for HIV infection from a doctor or other licensed clinical professional or had a positive test for HIV infection performed by a doctor or other licensed clinical professional? (The person(s) name will not be covered under the policy/certificate.)","${Q7}","${plan}"
"##Detroit","Michigan","MI","48228","Are you or is any family member (whether or not named) an expectant mother or father in the process of adopting a child or undergoing infertility treatment? If yes coverage cannot be issued.","Have you or anyone named been declined for insurance due to health reasons? (The person(s) named will not be covered under the policy/certificate.)","Have you or any person named lived in the 50 states of the USA or the District of Columbia for less than the past 12 months? (The person(s) named will not be covered under the policy/certificate.)","Do you or any person named now have hospital or medical expense insurance that will not terminate prior to the requested effective date? (The person(s) named will not be covered under the policy/certificate)","Within the last 5 years have you or anyone named received medical or surgical consultation advice or treatment including medication for any of the following: liver disorders kidney disorders chronic obstructive pulmonary disorder (COPD) or emphysema diabetes cancer heart or circulatory system disorders (excluding high blood pressure) Crohn's disease or ulcerative colitis or alcohol or drug abuse or immune system disorders? (The person(s) named will not be covered under the policy/certificate.)","Within the last 5 years have you or has anyone named received treatment advice medication or surgical consultation for HIV infection from a doctor or other licensed clinical professional or had a positive test for HIV infection performed by a doctor or other licensed clinical professional? (The person(s) name will not be covered under the policy/certificate.)","${Q7}","${plan}"
"##Minneapolis","Minnesota","MN","55106","Are you or is any family member (whether or not named) an expectant mother or father in the process of adopting a child or undergoing infertility treatment? If yes coverage cannot be issued.","Have you or anyone named been declined for insurance due to health reasons? (The person(s) named will not be covered under the policy/certificate.)","Have you or any person named lived in the 50 states of the USA or the District of Columbia for less than the past 12 months? (The person(s) named will not be covered under the policy/certificate.)","Do you or any person named now have hospital or medical expense insurance that will not terminate prior to the requested effective date? (The person(s) named will not be covered under the policy/certificate)","Within the last 5 years have you or anyone named received medical or surgical consultation advice or treatment including medication for any of the following: liver disorders kidney disorders chronic obstructive pulmonary disorder (COPD) or emphysema diabetes cancer heart or circulatory system disorders (excluding high blood pressure) Crohn's disease or ulcerative colitis or alcohol or drug abuse or immune system disorders? (The person(s) named will not be covered under the policy/certificate.)","Within the last 5 years have you or has anyone named received treatment advice medication or surgical consultation for HIV infection from a doctor or other licensed clinical professional or had a positive test for HIV infection performed by a doctor or other licensed clinical professional? (The person(s) name will not be covered under the policy/certificate.)","${Q7}","${plan}"
"##Kansas City","Missouri","MO","63129","Are you or is any family member (whether or not named) an expectant mother or father in the process of adopting a child or undergoing infertility treatment? If yes coverage cannot be issued.","Have you or anyone named been declined for insurance due to health reasons? (The person(s) named will not be covered under the policy/certificate.)","Have you or any person named lived in the 50 states of the USA or the District of Columbia for less than the past 12 months? (The person(s) named will not be covered under the policy/certificate.)","Do you or any person named now have hospital or medical expense insurance that will not terminate prior to the requested effective date? (The person(s) named will not be covered under the policy/certificate)","Within the last 5 years have you or anyone named received medical or surgical consultation advice or treatment including medication for any of the following: liver disorders kidney disorders chronic obstructive pulmonary disorder (COPD) or emphysema diabetes cancer heart or circulatory system disorders (excluding high blood pressure) Crohn's disease or ulcerative colitis or alcohol or drug abuse or immune system disorders? (The person(s) named will not be covered under the policy/certificate.)","Within the last 5 years have you or has anyone named received treatment advice medication or surgical consultation for HIV infection from a doctor or other licensed clinical professional or had a positive test for HIV infection performed by a doctor or other licensed clinical professional? (The person(s) name will not be covered under the policy/certificate.)","${Q7}","${plan}"
"Jackson","Mississippi","MS","39503","Are you or is any family member (whether or not named) an expectant mother or father in the process of adopting a child or undergoing infertility treatment? If yes coverage cannot be issued.","Have you or anyone named been declined for insurance due to health reasons? (The person(s) named will not be covered under the policy/certificate.)","Have you or any person named lived in the 50 states of the USA or the District of Columbia for less than the past 12 months? (The person(s) named will not be covered under the policy/certificate.)","Do you or any person named now have hospital or medical expense insurance that will not terminate prior to the requested effective date? (The person(s) named will not be covered under the policy/certificate)","Within the last 5 years have you or anyone named received medical or surgical consultation advice or treatment including medication for any of the following: liver disorders kidney disorders chronic obstructive pulmonary disorder (COPD) or emphysema diabetes cancer heart or circulatory system disorders (excluding high blood pressure) Crohn's disease or ulcerative colitis or alcohol or drug abuse or immune system disorders? (The person(s) named will not be covered under the policy/certificate.)","Within the last 5 years have you or has anyone named received treatment advice medication or surgical consultation for HIV infection from a doctor or other licensed clinical professional or had a positive test for HIV infection performed by a doctor or other licensed clinical professional? (The person(s) name will not be covered under the policy/certificate.)","${Q7}","${plan}"
