"state","zipcode","carrierid","uri","FW","DTFW"
"##GA","30044","carrier-lifeshield-","${uri}","Any person who knowingly and with intent to defraud any insurance company or other person files an application for insurance or a statement of claim containing any materially false information, or, for the purpose of misleading, conceals information concerning any fact material thereto, commits a fraudulent insurance act, which is a crime and subjects such person to criminal and civil penalties.","Any person who knowingly and with intent to defraud any insurance company or other person, files an application for insurance or statement of claim containing any materially false information or conceals for the purpose of misleading, information concerning any fact material thereto commits a fraudulent insurance act, which is a crime and subjects such person to criminal and/or civil penalties."
"##HI","96818","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","Any person who knowingly and with intent to defraud any insurance company or other person, files an application for insurance or statement of claim containing any materially false information or conceals for the purpose of misleading, information concerning any fact material thereto commits a fraudulent insurance act, which is a crime and subjects such person to criminal and/or civil penalties."
"##IA","50317","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","Any person who knowingly and with intent to defraud any insurance company or other person, files an application for insurance or statement of claim containing any materially false information or conceals for the purpose of misleading, information concerning any fact material thereto commits a fraudulent insurance act, which is a crime and subjects such person to criminal and/or civil penalties."
"##ID","83709","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","Any person who knowingly and with intent to defraud any insurance company or other person, files an application for insurance or statement of claim containing any materially false information or conceals for the purpose of misleading, information concerning any fact material thereto commits a fraudulent insurance act, which is a crime and subjects such person to criminal and/or civil penalties."
"IL","60629","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","Any person who knowingly and with intent to defraud any insurance company or other person, files an application for insurance or statement of claim containing any materially false information or conceals for the purpose of misleading, information concerning any fact material thereto commits a fraudulent insurance act, which is a crime and subjects such person to criminal and/or civil penalties."
"##IN","46227","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","Any person who knowingly and with intent to defraud any insurance company or other person, files an application for insurance or statement of claim containing any materially false information or conceals for the purpose of misleading, information concerning any fact material thereto commits a fraudulent insurance act, which is a crime and subjects such person to criminal and/or civil penalties."
"##KS","66062","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","Any person who knowingly and with intent to defraud any insurance company or other person, files an application for insurance or statement of claim containing any materially false information or conceals for the purpose of misleading, information concerning any fact material thereto commits a fraudulent insurance act, which is a crime and subjects such person to criminal and/or civil penalties."
"##KY","40214","carrier-lifeshield-","${uri}","Any person who knowingly and with intent to defraud any insurance company or other person files an application for insurance containing any materially false information or conceals, for the purpose of misleading, information concerning any fact material thereto commits a fraudulent insurance act, which is a crime.","Any person who knowingly and with intent to defraud any insurance company or other person files a statement of claim containing any materially false information or conceals, for the purpose of misleading, information concerning any fact material thereto commits a fraudulent insurance act, which is a crime."
"##LA","70816","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit or knowingly presents false information in an application for insurance is guilty of a crime and may be subject to fines and confinement in prison.","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit or knowingly presents false information in an application for insurance is guilty of a crime and may be subject to fines and confinement in prison."
"##MA","02128","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","Any person who knowingly and with intent to defraud any insurance company or other person, files an application for insurance or statement of claim containing any materially false information or conceals for the purpose of misleading, information concerning any fact material thereto commits a fraudulent insurance act, which is a crime and subjects such person to criminal and/or civil penalties."
"##MD","21215","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","Any person who knowingly or willfully presents a false or fraudulent claim for payment of a loss or benefit or who knowingly or willfully presents false information in an application for insurance is guilty of a crime and may be subject to fines and confinement in prison"
"##ME","04401","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","It is a crime to knowingly provide false, incomplete or misleading information to an insurance company for the purpose of defrauding the company. Penalties may include imprisonment, fines or a denial of insurance benefits."
"##MI","48228","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","Any person who knowingly and with intent to defraud any insurance company or other person, files an application for insurance or statement of claim containing any materially false information or conceals for the purpose of misleading, information concerning any fact material thereto commits a fraudulent insurance act, which is a crime and subjects such person to criminal and/or civil penalties."
"##MN","55106","carrier-lifeshield-","${uri}","Any person who knowingly and with intent to defraud any insurance company or other person files an application for insurance or statement of claim containing any materially false information or conceals for the purpose of misleading, information concerning any fact material thereto commits a fraudulent insurance act, which is a crime and subjects such person to criminal and civil penalties.","Any person who knowingly and with intent to defraud any insurance company or other person, files an application for insurance or statement of claim containing any materially false information or conceals for the purpose of misleading, information concerning any fact material thereto commits a fraudulent insurance act, which is a crime and subjects such person to criminal and/or civil penalties."
"##MO","63129","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","Any person who knowingly and with intent to defraud any insurance company or other person, files an application for insurance or statement of claim containing any materially false information or conceals for the purpose of misleading, information concerning any fact material thereto commits a fraudulent insurance act, which is a crime and subjects such person to criminal and/or civil penalties."
"##MS","39503","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","Any person who knowingly and with intent to defraud any insurance company or other person, files an application for insurance or statement of claim containing any materially false information or conceals for the purpose of misleading, information concerning any fact material thereto commits a fraudulent insurance act, which is a crime and subjects such person to criminal and/or civil penalties."
"##MT","59102","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","Any person who knowingly and with intent to defraud any insurance company or other person, files an application for insurance or statement of claim containing any materially false information or conceals for the purpose of misleading, information concerning any fact material thereto commits a fraudulent insurance act, which is a crime and subjects such person to criminal and/or civil penalties."
"##NC","28269","carrier-lifeshield-","${uri}","Any person who knowingly and with intent to injure, defraud or deceive any insurance company or other person files an application for insurance or statement of claim containing any materially false information or conceals, for the purpose of misleading, information concerning any fact material thereto commits a fraudulent insurance act, which may be a crime and subjects such person to criminal and civil penalties. In addition, an insurer may deny insurance benefits if false information materially related to a claim was provided by the enrollee or Insured Person.","Any person who knowingly and with intent to defraud any insurance company or other person, files an application for insurance or statement of claim containing any materially false information or conceals for the purpose of misleading, information concerning any fact material thereto commits a fraudulent insurance act, which is a crime and subjects such person to criminal and/or civil penalties."
"##ND","58103","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","Any person who knowingly and with intent to defraud any insurance company or other person, files an application for insurance or statement of claim containing any materially false information or conceals for the purpose of misleading, information concerning any fact material thereto commits a fraudulent insurance act, which is a crime and subjects such person to criminal and/or civil penalties."
"##NE","68104","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","Any person who knowingly and with intent to defraud any insurance company or other person, files an application for insurance or statement of claim containing any materially false information or conceals for the purpose of misleading, information concerning any fact material thereto commits a fraudulent insurance act, which is a crime and subjects such person to criminal and/or civil penalties."
"##NH","03103","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","Any person who, with a purpose to injure, defraud or deceive any insurance company, files a statement of claim containing any false, incomplete or misleading information is subject to prosecution and punishment for insurance fraud, as provided in RSA 638:20."
"##NJ","08701","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","Any person who knowingly files a statement of claim containing any false or misleading information is subject to criminal and civil penalties."
"##NM","87121","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit or knowingly presents false information in an application for insurance is guilty of a crime and may be subject to civil fines and criminal penalties."
"##NV","89110","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","Any person who knowingly and with intent to defraud any insurance company or other person, files an application for insurance or statement of claim containing any materially false information or conceals for the purpose of misleading, information concerning any fact material thereto commits a fraudulent insurance act, which is a crime and subjects such person to criminal and/or civil penalties."
"##NY","11226","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","Any person who knowingly and with intent to defraud any insurance company or other person files an application for insurance or statement of claim containing any materially false information, or conceals for the purpose of misleading, information concerning any fact material thereto, commits a fraudulent insurance act, which is a crime and shall also be subject to a civil penalty not to exceed five thousand dollars and the stated value of the claim for each such violation"
"##OH","43228","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","Any person who, with intent to defraud or knowing that he is facilitating a fraud against an insurer, submits an application or files a claim containing a false or deceptive statement is guilty of insurance fraud."
"##OK","73160","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","WARNING: Any person who knowingly, and with intent to injure, defraud or deceive any insurer, makes any claim for the proceeds of an insurance policy containing any false, incomplete or misleading information is guilty of a felony."
"##OR","97229","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","Any person who knowingly and with intent to defraud any insurance company or other person, files an application for insurance or statement of claim containing any materially false information or conceals for the purpose of misleading, information concerning any fact material thereto commits a fraudulent insurance act, which is a crime and subjects such person to criminal and/or civil penalties."
"##PA","19120","carrier-lifeshield-","${uri}","Any person who knowingly and with intent to defraud any insurance company or other person files an application for insurance or a statement of claim containing any materially false information, or, for the purpose of misleading, conceals information concerning any fact material thereto, commits a fraudulent insurance act, which is a crime and subjects such person to criminal and civil penalties.","Any person who knowingly and with intent to defraud any insurance company or other person files an application for insurance or statement of claim containing any materially false information or conceals for the purpose of misleading, information concerning any fact material thereto commits a fraudulent insurance act, which is a crime and subjects such person to criminal and civil penalties."
"##RI","02909","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit or knowingly presents false information in an application for insurance is guilty of a crime and may be subject to fines and confinement in prison"
"##SC","29223","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","Any person who knowingly and with intent to defraud any insurance company or other person, files an application for insurance or statement of claim containing any materially false information or conceals for the purpose of misleading, information concerning any fact material thereto commits a fraudulent insurance act, which is a crime and subjects such person to criminal and/or civil penalties."
"##SD","57106","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","Any person who knowingly and with intent to defraud any insurance company or other person, files an application for insurance or statement of claim containing any materially false information or conceals for the purpose of misleading, information concerning any fact material thereto commits a fraudulent insurance act, which is a crime and subjects such person to criminal and/or civil penalties."
"##TN","37230","carrier-lifeshield-","${uri}","It is a crime to knowingly provide false, incomplete or misleading information to an insurance company for the purpose of defrauding the company.  Penalties may include imprisonment, fines, or denial of insurance benefit.","It is a crime to knowingly provide false, incomplete or misleading information to an insurance company for the purpose of defrauding the company. Penalties include imprisonment, fines and denial of insurance benefits."
"TX","79936","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","Any person who knowingly presents a false or fraudulent claim for the payment of a loss is guilty of a crime and may be subject to fines and confinement in state prison."
"##UT","84120","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","Any person who knowingly presents false or fraudulent underwriting information, files or causes to be filed a false or fraudulent claim for disability compensation or medical benefits, or submits a false or fraudulent report or billing for health care fees or other professional services is guilty of a crime and may be subject to fines and confinement in state prison."
"##VA","23464","carrier-lifeshield-","${uri}","ANY PERSON WHO, WITH THE INTENT TO DEFRAUD OR KNOWING THAT HE IS FACILITATING A FRAUD AGAINST AN INSURER, SUBMITS AN APPLICATION OR FILES A CLAIM CONTAINING A FALSE OR DECEPTIVE STATEMENT MAY HAVE VIOLATED STATE LAW.","It is a crime to knowingly provide false, incomplete or misleading information to an insurance company for the purpose of defrauding the company. Penalties include imprisonment, fines and denial of insurance benefits."
"##VT","05401","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","Any person who knowingly and with intent to defraud any insurance company or other person, files an application for insurance or statement of claim containing any materially false information or conceals for the purpose of misleading, information concerning any fact material thereto commits a fraudulent insurance act, which is a crime and subjects such person to criminal and/or civil penalties."
"##WA","98115","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","Any person who knowingly presents a false or fraudulent claim for payment of a loss or knowingly makes a false statement in an application for insurance may be guilty of a criminal offense under state law."
"##WI","53215","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","Any person who knowingly and with intent to defraud any insurance company or other person, files an application for insurance or statement of claim containing any materially false information or conceals for the purpose of misleading, information concerning any fact material thereto commits a fraudulent insurance act, which is a crime and subjects such person to criminal and/or civil penalties."
"##WV","25302","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit or knowingly presents false information in an application for insurance is guilty of a crime and may be subject to fines and confinement in prison."
"##WY","82001","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","Any person who knowingly and with intent to defraud any insurance company or other person, files an application for insurance or statement of claim containing any materially false information or conceals for the purpose of misleading, information concerning any fact material thereto commits a fraudulent insurance act, which is a crime and subjects such person to criminal and/or civil penalties."
