"provider","state","Plan_name","quote_rate_QA","detail_rate_QA","quote_rate_TestProd","detail_rate_TestProd","zipcode","Primary_dob","Primary_gender"
"Nationwide","hi","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","96818","1/1/1980","F"
"Nationwide","ia","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","50317","1/1/1980","F"
"Nationwide","id","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","83709","1/1/1980","F"
"Nationwide","il","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","60629","1/1/1980","F"
"Nationwide","in","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","46227","1/1/1980","F"
"##Nationwide","ks","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","66062","1/1/1980","F"
"Nationwide","ky","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","40214","1/1/1980","F"
"Nationwide","la","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","70816","1/1/1980","F"
"##Nationwide","ma","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","02128","1/1/1980","F"
"##Nationwide","md","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","21215","1/1/1980","F"
"##Nationwide","me","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","04401","1/1/1980","F"
"##Nationwide","mi","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","48228","1/1/1980","F"
"##Nationwide","mn","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","55106","1/1/1980","F"
"Nationwide","mo","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","63129","1/1/1980","F"
"Nationwide","ms","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","39503","1/1/1980","F"
"##Nationwide","mt","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","59102","1/1/1980","F"
"##Nationwide","nc","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","28269","1/1/1980","F"
"Nationwide","nd","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","58103","1/1/1980","F"
"Nationwide","ne","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","68104","1/1/1980","F"
"##Nationwide","nh","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","03103","1/1/1980","F"
"Nationwide","nj","Foundation Dental - Protector I","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","08701","1/1/1980","F"
"Nationwide","nm","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","87121","1/1/1980","F"
"Nationwide","nv","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","89110","1/1/1980","F"
"##Nationwide","ny","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","11226","1/1/1980","F"
"Nationwide","oh","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","43228","1/1/1980","F"
"Nationwide","ok","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","73160","1/1/1980","F"
"Nationwide","or","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","97229","1/1/1980","F"
"Nationwide","pa","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","19120","1/1/1980","F"
"Nationwide","ri","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","02909","1/1/1980","F"
"Nationwide","sc","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","29223","1/1/1980","F"
"##Nationwide","sd","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","57106","1/1/1980","F"
"Nationwide","tn","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","37230","1/1/1980","F"
"Nationwide","tx","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","79936","1/1/1980","F"
"##Nationwide","ut","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","84120","1/1/1980","F"
"Nationwide","va","Foundation Dental - Protector I","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","23464","1/1/1980","F"
"##Nationwide","vt","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","05401","1/1/1980","F"
"##Nationwide","wa","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","98115","1/1/1980","F"
"Nationwide","wi","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","53215","1/1/1980","F"
"Nationwide","wv","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","25302","1/1/1980","F"
"Nationwide","wy","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","82001","1/1/1980","F"
