"state","state1","zipcode","planCount","pivotcompanion","everest","everest-one","lifeshield","nationalgeneral","slaico","AdvantHealth","Aspen"
"Nevada","NV","89110","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"##New York","NY","11226","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"Ohio","OH","43228","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"Oklahoma","OK","73160","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"Oregon","OR","97229","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"Pennsylvania","PA","19120","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"##Rhode Island","RI","02909","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"South Carolina","SC","29223","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"South Dakota","SD","57106","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"Tennessee","TN","37013","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"Texas","TX","79936","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"Utah","UT","84120","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"Virginia","VA","23464","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"##Vermont","VT","05401","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"##Washington","WA","98115","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"Wisconsin","WI","53215","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"West Virginia","WV","25302","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"Wyoming","WY","82001","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
