"state","state1","zip","DOB","planname","quote_P","apply_P","confirm_P"
"Florida","FL","32320","03/06/1985","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"Florida","FL","32320","03/06/1986","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Florida","FL","32320","03/06/1987","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Georgia","GA","30044","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"Georgia","GA","31106","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"Georgia","GA","30413","03/06/1985","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Georgia","GA","31605","03/06/1985","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"Georgia","GA","31605","03/06/1986","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Georgia","GA","31605","03/06/1987","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Hawaii","HI","96813","03/06/1980","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"Hawaii","HI","96813","03/06/1981","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"Hawaii","HI","96813","03/06/1982","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Hawaii","HI","96813","03/06/1983","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"Hawaii","HI","96813","03/06/1984","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Hawaii","HI","96813","03/06/1985","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Iowa","IA","50317","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"Iowa","IA","50003","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"Iowa","IA","50003","03/06/1986","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Iowa","IA","50003","03/06/1987","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"Iowa","IA","50003","03/06/1988","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Iowa","IA","50003","03/06/1989","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Idaho","ID","83709","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"Idaho","ID","83710","03/06/1986","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"Idaho","ID","83710","03/06/1987","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Idaho","ID","83710","03/06/1988","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"Idaho","ID","83710","03/06/1989","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Idaho","ID","83710","03/06/1990","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Illinois","IL","60629","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"Illinois","IL","60712","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"Illinois","IL","61111","03/06/1985","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Illinois","IL","60949","03/06/1985","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"Illinois","IL","60001","03/06/1985","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Illinois","IL","60001","03/06/1985","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Indiana","IN","46227","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"Indiana","IN","46406","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"Indiana","IN","46761","03/06/1985","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Indiana","IN","46761","03/06/1986","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"Indiana","IN","46761","03/06/1987","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Indiana","IN","46761","03/06/1987","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Kansas","KS","66062","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"Kansas","KS","66111","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"Kansas","KS","66111","03/06/1986","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Kansas","KS","66111","03/06/1987","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"Kansas","KS","66111","03/06/1988","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Kansas","KS","66111","03/06/1989","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Kentucky","KY","40214","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"Kentucky","KY","41267","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"Kentucky","KY","40621","03/06/1985","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Kentucky","KY","41031","03/06/1985","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"Kentucky","KY","42045","03/06/1985","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Kentucky","KY","42045","03/06/1985","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Louisiana","LA","70816","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"Louisiana","LA","71037","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"Louisiana","LA","71037","03/06/1985","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Louisiana","LA","71037","03/06/1985","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"Louisiana","LA","71037","03/06/1985","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Louisiana","LA","71037","03/06/1985","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Massachusetts","MA","02123","03/06/1980","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"Massachusetts","MA","02123","03/06/1981","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"Massachusetts","MA","02123","03/06/1982","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Massachusetts","MA","02123","03/06/1983","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"Massachusetts","MA","02123","03/06/1984","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Massachusetts","MA","02123","03/06/1985","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Maryland","MD","21215","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"Maryland","MD","21215","03/06/1986","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"Maryland","MD","21215","03/06/1987","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Maryland","MD","21215","03/06/1988","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"Maryland","MD","21215","03/06/1989","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Maryland","MD","21215","03/06/1985","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Maine","ME","04396","03/06/1980","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"Maine","ME","04396","03/06/1981","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"Maine","ME","04396","03/06/1982","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Maine","ME","04396","03/06/1983","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"Maine","ME","04396","03/06/1984","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Maine","ME","04396","03/06/1985","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Michigan","MI","48228","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"Michigan","MI","48101","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"Michigan","MI","48401","03/06/1985","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Michigan","MI","48663","03/06/1985","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"Michigan","MI","48664","03/06/1986","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Michigan","MI","48665","03/06/1987","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Minnesota","MN","55106","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"Minnesota","MN","55001","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"Minnesota","MN","55002","03/06/1986","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Minnesota","MN","55003","03/06/1987","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"Minnesota","MN","55004","03/06/1988","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Minnesota","MN","55005","03/06/1989","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Missouri","MO","63129","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"Missouri","MO","64117","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"Missouri","MO","64118","03/06/1986","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Missouri","MO","64119","03/06/1987","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"Missouri","MO","64120","03/06/1988","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Missouri","MO","64121","03/06/1989","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Mississippi","MS","39503","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"Mississippi","MS","39504","03/06/1986","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"Mississippi","MS","39505","03/06/1987","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Mississippi","MS","39506","03/06/1988","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"Mississippi","MS","39507","03/06/1989","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Mississippi","MS","39508","03/06/1990","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Montana","MT","59102","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"Montana","MT","59103","03/06/1986","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"Montana","MT","59104","03/06/1987","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Montana","MT","59105","03/06/1988","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"Montana","MT","59106","03/06/1989","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Montana","MT","59107","03/06/1990","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"North Carolina","NC","28269","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"North Carolina","NC","27006","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"North Carolina","NC","27007","03/06/1986","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"North Carolina","NC","27008","03/06/1987","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"North Carolina","NC","27009","03/06/1988","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"North Carolina","NC","27010","03/06/1989","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"North Dakota","ND","58103","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"North Dakota","ND","58104","03/06/1986","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"North Dakota","ND","58105","03/06/1987","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"North Dakota","ND","58106","03/06/1988","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"North Dakota","ND","58107","03/06/1989","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"North Dakota","ND","58108","03/06/1990","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Nebraska","NE","68104","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"Nebraska","NE","68001","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"Nebraska","NE","67898","03/06/1985","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Nebraska","NE","67795","03/06/1985","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"Nebraska","NE","67692","03/06/1985","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Nebraska","NE","67589","03/06/1985","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"New Hampshire","NH","3098","03/06/1980","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"New Hampshire","NH","3098","03/06/1981","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"New Hampshire","NH","3098","03/06/1982","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"New Hampshire","NH","3098","03/06/1983","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"New Hampshire","NH","3098","03/06/1984","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"New Hampshire","NH","3098","03/06/1985","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"New Jersey","NJ","08701","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"New Jersey","NJ","08701","03/06/1986","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"New Jersey","NJ","08701","03/06/1987","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"New Jersey","NJ","08701","03/06/1988","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"New Jersey","NJ","08701","03/06/1989","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"New Jersey","NJ","08701","03/06/1990","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"New Mexico","NM","87121","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"New Mexico","NM","87006","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"New Mexico","NM","86891","03/06/1985","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"New Mexico","NM","86776","03/06/1985","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"New Mexico","NM","86661","03/06/1985","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"New Mexico","NM","86546","03/06/1985","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Nevada","NV","89110","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"Nevada","NV","89111","03/06/1986","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"Nevada","NV","89112","03/06/1987","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Nevada","NV","89113","03/06/1988","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"Nevada","NV","89114","03/06/1989","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Nevada","NV","89115","03/06/1990","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"New York","NY","11226","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"New York","NY","11226","03/06/1986","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"New York","NY","11226","03/06/1987","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"New York","NY","11226","03/06/1988","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"New York","NY","11226","03/06/1989","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"New York","NY","11226","03/06/1990","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Ohio","OH","43228","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"Ohio","OH","44140","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"Ohio","OH","43004","03/06/1985","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Ohio","OH","43228","03/06/1985","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"Ohio","OH","43228","03/06/1985","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Ohio","OH","43228","03/06/1985","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Oklahoma","OK","73160","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"Oklahoma","OK","73160","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"Oklahoma","OK","73160","03/06/1985","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Oklahoma","OK","73160","03/06/1985","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"Oklahoma","OK","73160","03/06/1985","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Oklahoma","OK","73160","03/06/1985","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Oregon","OR","97229","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"Oregon","OR","97006","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"Oregon","OR","97229","03/06/1985","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Oregon","OR","97006","03/06/1985","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"Oregon","OR","97229","03/06/1985","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Oregon","OR","97006","03/06/1985","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Pennsylvania","PA","19120","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"Pennsylvania","PA","15101","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"Pennsylvania","PA","15003","03/06/1985","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Pennsylvania","PA","15821","03/06/1985","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"Pennsylvania","PA","15003","03/06/1985","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Pennsylvania","PA","15821","03/06/1985","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Rhode Island","RI","02909","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"Rhode Island","RI","2909","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"Rhode Island","RI","02909","03/06/1985","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Rhode Island","RI","02909","03/06/1985","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"Rhode Island","RI","2909","03/06/1985","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Rhode Island","RI","02909","03/06/1985","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"South Carolina","SC","29223","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"South Carolina","SC","29223","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"South Carolina","SC","29223","03/06/1985","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
