"state","zipcode","url"
"OK","73717","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-OK-20-5000"
"OR","97710","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-OR-20-5000"
"PA","19019","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-PA-20-5000"
"RI","2806","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-RI-20-5000"
"SC","29601","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-SC-20-5000"
"SD","57424","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-SD-20-5000"
"TN","37016","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-TN-20-5000"
"TX","75901","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-TX-20-5000"
"UT","84101","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-UT-20-5000"
"VA","23002","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-VA-20-5000"
"VT","24540","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-VT-20-5000"
"WA","98101","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-WA-20-5000"
"WI","54401","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-WI-20-5000"
"WV","24851","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-WV-20-5000"
"WY","82212","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-WY-20-5000"
"MN","55057","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-MN-20-5000"
"DC","20001","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-DC-20-5000"
