"provider","state","zipcode","planid","Enroll_Fee","TelaDoc_Fee","RxAdvocacy_Fee","Medsense_Fee","AHI_duration","AHI_rate","PL_duration","PL_rate","Expected_Rate","Diff","PLID"
"##LifeShield","ks","66062","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"LifeShield","ky","40214","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"LifeShield","la","70816","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##LifeShield","ma","2128","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##LifeShield","md","21215","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##LifeShield","me","4401","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##LifeShield","mi","48228","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##LifeShield","mn","55106","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"LifeShield","mo","63129","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"LifeShield","ms","39503","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##LifeShield","mt","59102","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"LifeShield","nc","28269","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##LifeShield","nd","58103","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##LifeShield","ne","68104","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##LifeShield","nh","3103","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##LifeShield","nj","8701","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##LifeShield","nm","87121","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"LifeShield","nv","89110","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##LifeShield","ny","11226","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##LifeShield","oh","43228","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"LifeShield","ok","73160","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##LifeShield","or","97229","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"LifeShield","pa","19120","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##LifeShield","ri","2909","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"LifeShield","sc","29223","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"LifeShield","sd","57106","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"LifeShield","tn","37230","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"LifeShield","tx","79936","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##LifeShield","ut","84120","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##LifeShield","va","23464","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##LifeShield","vt","5401","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##LifeShield","wa","98115","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##LifeShield","wi","53215","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"LifeShield","wv","25302","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##LifeShield","wy","82001","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
