provider,state,zipcode,planid,Enroll_Fee,TelaDoc_Fee,RxAdvocacy_Fee,Chiro_Fee,Freedom_Elite_Fee,Medsense_Fee,VBP_Fee,AHI_duration,AHI_rate,PL_duration,PL_rate,Expected_Rate,Diff,PLID
LifeShield,ok,73160,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##LifeShield,or,97229,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
LifeShield,pa,19120,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##LifeShield,ri,2909,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
LifeShield,sc,29223,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
LifeShield,sd,57106,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,0,19.95,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
LifeShield,tn,37230,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
LifeShield,tx,79936,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##LifeShield,ut,84120,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##LifeShield,va,23464,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##LifeShield,vt,5401,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##LifeShield,wa,98115,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##LifeShield,wi,53215,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
LifeShield,wv,25302,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##LifeShield,wy,82001,lifeshield-advantage-${state}-5000-20-9000-1000000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
