"provider","state","state1","zip","DOB","Question1","Question2","Question3","Question4","Question5","Question6","Question7","Question8"
"##Standard Life","Oregon","OR","97229","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Pennsylvania","PA","19120","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Rhode Island","RI","2909","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","South Carolina","SC","29223","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","South Dakota","SD","57106","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Tennessee","TN","37013","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Texas","TX","79936","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Utah","UT","84120","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Virginia","VA","23464","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Vermont","VT","5401","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Washington","WA","98115","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Wisconsin","WI","53215","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","West Virginia","WV","25302","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Wyoming","WY","82001","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
