"state","zipcode","planid","premium","duration","extendedInfo","dentalPrice","teladocPrice","pre-xPrice","uri","status"
"##id","83709","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"il","60629","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##in","46227","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ks","66062","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ky","40214","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##la","70816","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ma","02128","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##md","21215","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##me","04401","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##mi","48228","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##mn","55106","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##mo","63129","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ms","39503","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##mt","59102","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##nc","28269","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##nd","58103","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ne","68104","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##nh","03103","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##nj","08701","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##nm","87121","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##nv","89110","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ny","11226","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##oh","43228","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ok","73160","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##or","97229","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##pa","19120","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ri","02909","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##sc","29223","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##sd","57106","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##tn","37013","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##tx","79936","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ut","84120","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##va","23464","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##vt","05401","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##wa","98115","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##wi","53215","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##wv","25302","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##wy","82001","unitedhealthone-${state}-plus-select-a-10000-20-12000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
