"state","zipcode","planid","premium","duration","extendedInfo","dentalPrice","teladocPrice","pre-xPrice","uri","status"
"##ri","02909","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##sc","29223","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##sd","57106","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##tn","37013","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"tx","79936","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ut","84120","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##va","23464","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##vt","05401","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##wa","98115","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"wi","53215","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##wv","25302","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##wy","82001","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
