"provider","state","zipcode","planid","QA_Apply_page_rate","QA_duration","testprod_Apply_page_rate","Prod_duration","trendFactor","Primary_dob","Primary_gender"
"##LifeShield","ok","73160","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","or","97229","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"LifeShield","pa","19120","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","ri","2909","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"LifeShield","sc","29223","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","sd","57106","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"LifeShield","tn","37230","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"LifeShield","tx","79936","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","ut","84120","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","va","23464","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","vt","5401","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","wa","98115","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","wi","53215","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"LifeShield","wv","25302","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","wy","82001","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
