<<<<<<< HEAD
"state","state1","zip","DOB","uri","state2","PLID"
"Iowa","IA","50317","Vitala Care","spark","Spark","${uri}"
"##Idaho","ID","83709","Cardinal Choice","","",""
"##Illinois","IL","60629","Cardinal Choice","","",""
"##Indiana","IN","46227","Cardinal Choice","","",""
"##Kansas","KS","66062","Cardinal Choice","","",""
"##Kentucky","KY","40214","Cardinal Choice","","",""
"Louisiana","LA","70816","Vitala Care","tristar","TriStar","${uri}"
"##Massachusetts","MA","2128","Cardinal Choice","","",""
"##Maryland","MD","21215","Cardinal Choice","","",""
"##Maine","ME","4401","Cardinal Choice","","",""
"##Michigan","MI","48228","Cardinal Choice","","",""
"##Minnesota","MN","55106","Cardinal Choice","","",""
"##Missouri","MO","63129","Cardinal Choice","","",""
"##Mississippi","MS","39503","Cardinal Choice","","",""
"##Montana","MT","59102","Cardinal Choice","","",""
"##North Carolina","NC","28269","Cardinal Choice","","",""
"##North Dakota","ND","58103","Cardinal Choice","","",""
"##Nebraska","NE","68104","Cardinal Choice","","",""
"##New Hampshire","NH","3103","Cardinal Choice","","",""
"##New Jersey","NJ","8701","Cardinal Choice","","",""
"##New Mexico","NM","87121","Cardinal Choice","","",""
"##Nevada","NV","89110","Cardinal Choice","","",""
"##New York","NY","11226","Cardinal Choice","","",""
"##Ohio","OH","43228","Cardinal Choice","","",""
"##Oklahoma","OK","73160","Cardinal Choice","","",""
"##Oregon","OR","97229","Cardinal Choice","","",""
"##Pennsylvania","PA","19120","Cardinal Choice","","",""
"##Rhode Island","RI","2909","Cardinal Choice","","",""
"##South Carolina","SC","29223","Cardinal Choice","","",""
"##South Dakota","SD","57106","Cardinal Choice","","",""
"##Tennessee","TN","37013","Cardinal Choice","","",""
"##Texas","TX","79936","Cardinal Choice","","",""
"##Utah","UT","84120","Cardinal Choice","","",""
"##Virginia","VA","23464","Cardinal Choice","","",""
"##Vermont","VT","5401","Cardinal Choice","","",""
"##Washington","WA","98115","Cardinal Choice","","",""
"##Wisconsin","WI","53215","Cardinal Choice","","",""
"##West Virginia","WV","25302","Cardinal Choice","","",""
"##Wyoming","WY","82001","Cardinal Choice","","",""
>>>>>>> 82197a29f643f11bda9e9e54fa5be3ec10149ede
