"provider","state","planid","QA_Apply_page_rate","testprod_Apply_page_rate","zipcode","Primary_dob","Primary_gender"
"##Everest Prime","ky","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","40214","1/1/1980","F"
"Everest Prime","la","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","70816","1/1/1980","F"
"##Everest Prime","ma","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","02128","1/1/1980","F"
"##Everest Prime","md","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","21215","1/1/1980","F"
"##Everest Prime","me","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","04401","1/1/1980","F"
"##Everest Prime","mi","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","48228","1/1/1980","F"
"Everest Prime","mn","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","55106","1/1/1980","F"
"Everest Prime","mo","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","63129","1/1/1980","F"
"Everest Prime","ms","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","39503","1/1/1980","F"
"##Everest Prime","mt","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","59102","1/1/1980","F"
"Everest Prime","nc","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","28269","1/1/1980","F"
"##Everest Prime","nd","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","58103","1/1/1980","F"
"Everest Prime","ne","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","68104","1/1/1980","F"
"Everest Prime","nh","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","03103","1/1/1980","F"
"##Everest Prime","nj","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","08701","1/1/1980","F"
"##Everest Prime","nm","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","87121","1/1/1980","F"
"##Everest Prime","nv","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","89110","1/1/1980","F"
"##Everest Prime","ny","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","11226","1/1/1980","F"
"Everest Prime","oh","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","43228","1/1/1980","F"
"Everest Prime","ok","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","73160","1/1/1980","F"
"Everest Prime","or","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","97229","1/1/1980","F"
"Everest Prime","pa","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","19120","1/1/1980","F"
"##Everest Prime","ri","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","02909","1/1/1980","F"
"Everest Prime","sc","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","29223","1/1/1980","F"
"Everest Prime","sd","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","57106","1/1/1980","F"
"Everest Prime","tn","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","37230","1/1/1980","F"
"Everest Prime","tx","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","79936","1/1/1980","F"
"##Everest Prime","ut","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","84120","1/1/1980","F"
"##Everest Prime","va","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","23464","1/1/1980","F"
"##Everest Prime","vt","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","05401","1/1/1980","F"
"##Everest Prime","wa","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","98115","1/1/1980","F"
"Everest Prime","wi","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","53215","1/1/1980","F"
"Everest Prime","wv","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","25302","1/1/1980","F"
"Everest Prime","wy","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","82001","1/1/1980","F"
