"provider","state","zipcode","planid","Enroll_Fee","TelaDoc_Fee","RxAdvocacy_Fee","Chiro_Fee","Freedom_Elite_Fee","NCE_Fee","VBP_Fee","AHI_duration","AHI_rate","PL_duration","PL_rate","Expected_Rate","Diff","PLID"
"##AdvantHealth","mo","63129","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","0","19.95","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"AdvantHealth","ms","39503","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","mt","59102","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"AdvantHealth","nc","28269","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","0","19.95","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","nd","58103","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"AdvantHealth","ne","68104","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","nh","03103","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","nj","08701","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","nm","87121","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"AdvantHealth","nv","89110","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","ny","11226","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"AdvantHealth","oh","43228","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"AdvantHealth","ok","73160","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","or","97229","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","pa","19120","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","ri","02909","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","sc","29223","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","sd","57106","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","0","19.95","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","tn","37230","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"AdvantHealth","tx","79936","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","ut","84120","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","va","23464","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","vt","05401","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","wa","98115","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"AdvantHealth","wi","53215","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","wv","25302","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","wy","82001","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
