"state","state1","zip","provider","planname","uri","quote_P","confirm_P","start","DOB","dental_collapse","dental_Protector","denta_Guardian","Vision"
"##Montana","MT","59102","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##North Carolina","NC","28269","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"North Dakota","ND","58103","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"Nebraska","NE","68104","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##New Hampshire","NH","03103","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##New Jersey","NJ","08701","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"New Mexico","NM","87121","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"Nevada","NV","89110","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"New York","NY","11226","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"Ohio","OH","43228","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"Oklahoma","OK","73160","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"Oregon","OR","97229","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"Pennsylvania","PA","19120","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"Rhode Island","RI","02909","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"South Carolina","SC","29223","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##South Dakota","SD","57106","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"Tennessee","TN","37013","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"Texas","TX","79936","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##Utah","UT","84120","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##Virginia","VA","23464","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##Vermont","VT","05401","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"##Washington","WA","98115","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"Wisconsin","WI","53215","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"West Virginia","WV","25302","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
"Wyoming","WY","82001","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1980","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}"
