provider,state,zipcode,planid,Enroll_Fee,TelaDoc_Fee,RxAdvocacy_Fee,Chiro_Fee,Freedom_Elite_Fee,NCE_Fee,VBP_Fee,AHI_duration,AHI_rate,PL_duration,PL_rate,Expected_Rate,Diff,PLID
##AdvantHealth,ks,66062,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
AdvantHealth,ky,40214,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,la,70816,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,0,19.95,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,ma,2128,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,md,21215,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,me,4401,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,mi,48228,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,mn,55106,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,mo,63129,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,0,19.95,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
AdvantHealth,ms,39503,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,mt,59102,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
AdvantHealth,nc,28269,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,0,19.95,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,nd,58103,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
AdvantHealth,ne,68104,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,nh,3103,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,nj,8701,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,nm,87121,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
AdvantHealth,nv,89110,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,ny,11226,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
AdvantHealth,oh,43228,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
AdvantHealth,ok,73160,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,or,97229,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,pa,19120,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,ri,2909,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,sc,29223,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,sd,57106,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,0,19.95,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,tn,37230,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
AdvantHealth,tx,79936,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,ut,84120,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,va,23464,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,vt,5401,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,wa,98115,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
AdvantHealth,wi,53215,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,wv,25302,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
##AdvantHealth,wy,82001,advanthealth-plan-1-${state}-5000-20-9000-500000,20,19.99,17.95,19.5,50,19.99,0,${AHI_duration},${AHI_rate},${PL_duration},${PL_rate},${Expected_Rate},${Diff},tristar
