"city_name","state","state1","zipcode","Q1","Q2","Q3","Q4","Q5","Q6","Q7"
"##Charlotte","North Carolina","NC","28269","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"##Fargo","North Dakota","ND","58103","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"##Omaha","Nebraska","NE","68104","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"##Manchester","New Hampshire","NH","03103","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"##Newark","New Jersey","NJ","08701","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"##Albuquerque","New Mexico","NM","87121","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"Las Vegas","Nevada","NV","89110","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"##New York","New York","NY","11226","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"Columbus","Ohio","OH","43228","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"Oklahoma City","Oklahoma","OK","73160","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"Portland","Oregon","OR","97229","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"Philadelphia","Pennsylvania","PA","19120","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"##Providence","Rhode Island","RI","02909","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"Columbia","South Carolina","SC","29223","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"##Sioux Falls","South Dakota","SD","57106","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"##Memphis","Tennessee","TN","37013","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"Houston","Texas","TX","79936","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"##Salt Lake City","Utah","UT","84120","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"Virginia Beach","Virginia","VA","23464","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"##Burlington","Vermont","VT","05401","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"##Seattle","Washington","WA","98115","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"Milwaukee","Wisconsin","WI","53215","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"##Charleston","West Virginia","WV","25302","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"Cheyenne","Wyoming","WY","82001","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
