"state","zipcode","planid","premium","duration","dentalPrice","teladocPrice"
"ms","39503","nationalgeneral-${state}-5000-20-7000-1000000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"mt","59102","nationalgeneral-${state}-5000-20-7000-1000000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"nc","28269","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"##nd","58103","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"##ne","68104","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"##nh","03103","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"##nj","08701","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"nm","87121","nationalgeneral-${state}-5000-20-7000-1000000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"nv","89110","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"##ny","11226","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"##oh","43228","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"ok","73160","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"or","97229","nationalgeneral-${state}-5000-20-7000-1000000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"##pa","19120","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"##ri","02909","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"sc","29223","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"sd","57106","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"tn","37013","nationalgeneral-${state}-5000-20-7000-1000000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"tx","79936","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"ut","84120","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"va","23464","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"##vt","05401","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"##wa","98115","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"wi","53215","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"wv","25302","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"wy","82001","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
