"provider","Plan_name","quote_testprod_rate","quote_QA_rate","QA_Apply_page_rate","testprod_Apply_page_rate","zipcode","Primary_gender","Spouse_dob","Spouse_gender","Spouse","Spouse_enable","Child_dob","Child_gender","Child","Child_enable"
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","66062","F","1980/1/1","M","S","1","","","",""
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","40214","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","70816","F","","","","","2000/1/1","M","C","2"
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","2128","F","","","","","1997/1/1","M","C","2"
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","21215","F","","","","","","","",""
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","4401","F","1980/1/1","M","S","1","","","",""
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","48228","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","55106","F","","","","","2000/1/1","M","C","2"
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","63129","F","","","","","1997/1/1","M","C","2"
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","39503","F","","","","","","","",""
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","59102","F","1980/1/1","M","S","1","","","",""
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","28269","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","58103","F","","","","","2000/1/1","M","C","2"
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","68104","F","","","","","1997/1/1","M","C","2"
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","3103","F","","","","","","","",""
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","8701","F","1980/1/1","M","S","1","","","",""
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","87121","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","89110","F","","","","","2000/1/1","M","C","2"
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","11226","F","","","","","1997/1/1","M","C","2"
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","43228","F","","","","","","","",""
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","73160","F","1980/1/1","M","S","1","","","",""
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","97229","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","19120","F","","","","","2000/1/1","M","C","2"
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","2909","F","","","","","1997/1/1","M","C","2"
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","29591","F","","","","","","","",""
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","57106","F","1980/1/1","M","S","1","","","",""
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","37013","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","79936","F","","","","","2000/1/1","M","C","2"
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","84120","F","","","","","1997/1/1","M","C","2"
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","23464","F","","","","","","","",""
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","5401","F","1980/1/1","M","S","1","","","",""
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","98115","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","53215","F","","","","","2000/1/1","M","C","2"
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","25302","F","","","","","1997/1/1","M","C","2"
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","82001","F","","","","","1997/1/1","M","C","2"
