"state","zipcode","planid","premium","duration","extendedInfo","uri","status"
"##nv","89110","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##ny","11226","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##oh","43228","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"ok","73160","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##or","97229","unitedhealthone-${state}-copay-value-10000-30-20000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##pa","19120","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##ri","02909","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##sc","29223","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##sd","57106","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##tn","37013","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##tx","79936","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##ut","84120","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##va","23464","unitedhealthone-${state}-copay-value-10000-30-20000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##vt","05401","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##wa","98115","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"wi","53215","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"wv","25302","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##wy","82001","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
