"provider","state","state1","zip","PlanExcepted","DOB","PlanName","uri","Deductible","Coinsurance","MOOP"
"UnitedHealthOne","Kentucky","KY","40214","Secure STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Louisiana","LA","70816","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Massachusetts","MA","02128","","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Maryland","MD","21215","Secure STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Maine","ME","04401","Secure STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Michigan","MI","48228","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Minnesota","MN","55106","","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Missouri","MO","63129","Secure STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Mississippi","MS","39503","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Montana","MT","59102","","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","North Carolina","NC","28269","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","North Dakota","ND","58103","","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Nebraska","NE","68104","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","New Hampshire","NH","03103","","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","New Jersey","NJ","08701","","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","New Mexico","NM","87121","","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Nevada","NV","89110","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","New York","NY","11226","","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Ohio","OH","43228","Secure STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Oklahoma","OK","73160","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Oregon","OR","97229","Secure STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Pennsylvania","PA","19120","Secure STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Rhode Island","RI","02909","","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","South Carolina","SC","29223","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","South Dakota","SD","57106","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Tennessee","TN","37013","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Texas","TX","79936","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Utah","UT","84120","Secure STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Virginia","VA","23464","Secure STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Vermont","VT","05401","","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Washington","WA","98115","","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Wisconsin","WI","53215","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","West Virginia","WV","25302","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Wyoming","WY","82001","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
