"provider","state","planid","QA_Apply_page_rate","QA_Apply_page_fee","QA_duration","testprod_Apply_page_rate","testprod_Apply_page_fee","Prod_duration","Diff","zipcode","Primary_dob","Primary_gender","PLID"
"##Everest","ok","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","73160","1/1/1980","F",""
"Everest","or","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","97229","1/1/1980","F","llbenefits"
"Everest","pa","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","19120","1/1/1980","F","llbenefits"
"##Everest","ri","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","02909","1/1/1980","F",""
"Everest","sc","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","29223","1/1/1980","F","llbenefits"
"Everest","sd","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","57106","1/1/1980","F","llbenefits"
"Everest","tn","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","37230","1/1/1980","F","llbenefits"
"##Everest","tx","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","79936","1/1/1980","F",""
"##Everest","ut","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","84120","1/1/1980","F",""
"##Everest","va","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","23464","1/1/1980","F",""
"##Everest","vt","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","05401","1/1/1980","F",""
"##Everest","wa","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","98115","1/1/1980","F",""
"##Everest","wi","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","53215","1/1/1980","F",""
"Everest","wv","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","25302","1/1/1980","F","llbenefits"
"Everest","wy","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","82001","1/1/1980","F","llbenefits"
