"state","zipcode","planid","premium","duration","extendedInfo","dentalPrice","teladocPrice","pre-xPrice","uri","status"
"##ks","66062","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"ky","40214","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"la","70816","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ma","02128","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##md","21215","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##me","04401","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##mi","48228","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##mn","55106","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"mo","63129","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"ms","39503","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##mt","59102","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##nc","28269","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##nd","58103","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ne","68104","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##nh","03103","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##nj","08701","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##nm","87121","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"nv","89110","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ny","11226","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##oh","43228","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"ok","73160","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##or","97229","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##pa","19120","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ri","02909","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"sc","29223","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##sd","57106","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##tn","37013","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"tx","79936","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ut","84120","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"va","23464","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##vt","05401","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##wa","98115","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"wi","53215","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"wv","25302","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##wy","82001","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
