"state","state1","zip","provider","planname","uri","quote_P","confirm_P","DOB"
"##Pennsylvania","PA","17841","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Rhode Island","RI","02909","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##South Carolina","SC","29223","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##South Dakota","SD","57106","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Tennessee","TN","37013","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Texas","TX","79936","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Texas","TX","75001","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Texas","TX","79101","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Utah","UT","84120","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Virginia","VA","23464","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Virginia","VA","22044","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Virginia","VA","24210","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Vermont","VT","05401","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Washington","WA","98115","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Wisconsin","WI","53215","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##West Virginia","WV","25302","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##West Virginia","WV","25918","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Wyoming","WY","82001","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
