"city_name","state","state1","zipcode","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8"
"##New York","New York","NY","11226","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Columbus","Ohio","OH","43228","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Oklahoma City","Oklahoma","OK","73160","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Portland","Oregon","OR","97229","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Philadelphia","Pennsylvania","PA","19120","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Providence","Rhode Island","RI","02909","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Columbia","South Carolina","SC","29223","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Sioux Falls","South Dakota","SD","57106","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Memphis","Tennessee","TN","37013","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Houston","Texas","TX","79936","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Salt Lake City","Utah","UT","84120","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Virginia Beach","Virginia","VA","23464","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Burlington","Vermont","VT","05401","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Seattle","Washington","WA","98115","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Milwaukee","Wisconsin","WI","53215","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Charleston","West Virginia","WV","25302","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Cheyenne","Wyoming","WY","82001","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
