"state","state1","zipcode","planUri","FW","UNDERWRITING","AUTHORIZATION "
"Ohio","OH","43228","slaico-oh-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"Oklahoma","OK","73160","slaico-ok-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"##Oregon","OR","97229","slaico-or-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"Pennsylvania","PA","19120","slaico-pa-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"##Rhode Island","RI","2909","slaico-ri-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"##South Carolina","SC","29223","slaico-sc-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"##South Dakota","SD","57106","slaico-sd-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"Tennessee","TN","37013","slaico-tn-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"Texas","TX","79936","slaico-tx-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"##Utah","UT","84120","slaico-ut-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"Virginia","VA","23464","slaico-va-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"##Vermont","VT","5401","slaico-vt-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"##Washington","WA","98115","slaico-wa-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"##Wisconsin","WI","53215","slaico-wi-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"West Virginia","WV","25302","slaico-wv-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"Wyoming","WY","82001","slaico-wy-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
