"provider","state","Plan_name","quote_QA_rate","QA_Apply_page_rate","quote_testprod_rate","testprod_Apply_page_rate","zipcode","Primary_dob","Primary_gender"
"##Chubb","nj","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","8701","1/1/1980","F"
"Chubb","nm","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","87121","1/1/1980","F"
"Chubb","nv","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","89110","1/1/1980","F"
"##Chubb","ny","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","11226","1/1/1980","F"
"Chubb","oh","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","43228","1/1/1980","F"
"Chubb","ok","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","73160","1/1/1980","F"
"Chubb","or","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","97229","1/1/1980","F"
"Chubb","pa","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","19120","1/1/1980","F"
"Chubb","ri","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","02909","1/1/1980","F"
"Chubb","sc","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","29223","1/1/1980","F"
"##Chubb","sd","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","57106","1/1/1980","F"
"Chubb","tn","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","37230","1/1/1980","F"
"Chubb","tx","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","79936","1/1/1980","F"
"Chubb","ut","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","84120","1/1/1980","F"
"Chubb","va","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","23464","1/1/1980","F"
"##Chubb","vt","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","05401","1/1/1980","F"
"##Chubb","wa","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","98115","1/1/1980","F"
"Chubb","wi","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","53215","1/1/1980","F"
"Chubb","wv","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","25302","1/1/1980","F"
"Chubb","wy","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","82001","1/1/1980","F"
