"state","state1","zipcode","planCount","AdvantHealth","pivotcompanion","everest","everest-one","lifeshield","nationalgeneral","slaico","PLID"
"Mississippi","MS","39503","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"Montana","MT","59102","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"North Carolina","NC","28269","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"North Dakota","ND","58103","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"Nebraska","NE","68104","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"New Hampshire","NH","03103","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"##New Jersey","NJ","08701","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"New Mexico","NM","87121","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"Nevada","NV","89110","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"##New York","NY","11226","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"Ohio","OH","43228","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"Oklahoma","OK","73160","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"Oregon","OR","97229","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"Pennsylvania","PA","19120","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"##Rhode Island","RI","02909","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"South Carolina","SC","29223","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"South Dakota","SD","57106","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"Tennessee","TN","37013","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"Texas","TX","79936","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"Utah","UT","84120","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"Virginia","VA","23464","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"##Vermont","VT","05401","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"##Washington","WA","98115","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"Wisconsin","WI","53215","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"West Virginia","WV","25302","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"Wyoming","WY","82001","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
