"state","zipcode","planid","premium","duration","extendedInfo/pre-ex","uri","status","carrierid","finalPrice","PLID"
"##nh","3103","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##nj","8701","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##nm","87121","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"nv","89110","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##ny","11226","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##oh","43228","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"ok","73160","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##or","97229","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"pa","19120","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##ri","2909","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"sc","29223","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"sd","57106","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"tn","37013","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"tx","79936","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##ut","84120","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##va","23464","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##vt","5401","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##wa","98115","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##wi","53215","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"wv","25302","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##wy","82001","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
