"state","zipcode","planid","premium","total","duration","uri","status","carrierid","finalPrice"
"##md","21215","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"##me","4401","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"##mi","48228","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"##mn","55106","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"mo","63129","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"ms","39503","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"##mt","59102","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"##nc","28269","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"##nd","58103","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"##ne","68104","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"##nh","3103","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"##nj","8701","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"##nm","87121","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"nv","89110","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"##ny","11226","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"##oh","43228","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"ok","73160","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"##or","97229","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"##pa","19120","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"##ri","2909","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"sc","29223","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"##sd","57106","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"##tn","37013","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"tx","79936","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"##ut","84120","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"va","23464","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"##vt","5401","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"##wa","98115","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"wi","53215","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"wv","25302","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"##wy","82001","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
