"provider","Plan_name","quote_testprod_rate","quote_QA_rate","QA_Apply_page_rate","testprod_Apply_page_rate","","zipcode","Primary_dob","Primary_gender","Spouse_dob","Spouse_gender","Spouse","Spouse_enable","Child_dob","Child_gender","Child","Child_enable"
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","SD","57106","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","TN","37230","1/1/1980","F","","","","","","","",""
"Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","TX","79936","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","UT","84120","1/1/1980","F","","","","","","","",""
"Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","VA","23464","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","VT","5401","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","WA","98115","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","WI","53215","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","WV","25302","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","WY","82001","1/1/1980","F","","","","","","","",""
