"state","zipcode","planid","premium","duration","extendedInfo/pre-ex","uri","status","carrierid","finalPrice","PLID"
"##md","21215","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##me","4401","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##mi","48228","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##mn","55106","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##mo","63129","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##ms","39503","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##mt","59102","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##nc","28269","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##nd","58103","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##ne","68104","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##nh","3103","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##nj","8701","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##nm","87121","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##nv","89110","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##ny","11226","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##oh","43228","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##ok","73160","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##or","97229","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##pa","19120","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##ri","2909","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##sc","29223","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##sd","57106","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##tn","37013","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##tx","79936","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##ut","84120","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##va","23464","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##vt","5401","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##wa","98115","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##wi","53215","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##wv","25302","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
"##wy","82001","advanthealth-plan-3-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}","tristar"
