"state","state1","zipcode","DOB","Carriers","Plan1","VerifiedPlan1","Plan2","VerifiedPlan2","Plan3","VerifiedPlan3","Plan4","VerifiedPlan4","Plan5","VerifiedPlan5","Plan6","VerifiedPlan6"
"Georgia","GA","30044","03/06/1995","${Carriers}","${Bestsellername1}","Everest Prime 2500/0/2500/1500000","${Bestsellername2}","HCC Flexible 5000/20","${Bestsellername3}","HCC Flexible 2500/20","${Bestsellername4}","HCC Advantage 7500/50","${Bestsellername5}","HCC Advantage 2500/20","${Bestsellername6}","HCC Advantage 1000/20"
"Hawaii","HI","96818","03/06/1995","${Carriers}","${Bestsellername1}","HCC Advantage 1000/20","${Bestsellername2}","HCC Flexible 5000/20","${Bestsellername3}","HCC Flexible 2500/20","${Bestsellername4}","HCC Flexible 5000/20 Extended","${Bestsellername5}","HCC Flexible 2500/20 Extended","${Bestsellername6}","HCC Advantage 1000/20"
"Iowa","IA","50317","03/06/1995","${Carriers}","${Bestsellername1}","HCC Advantage 2500/20","${Bestsellername2}","Standard Life Select STM Plan 3 2500/0/1M","${Bestsellername3}","HCC Advantage 1000/20","${Bestsellername4}","Standard Life Select STM Plan 3 2500/0/1M Extended","${Bestsellername5}","HCC Advantage 500/20","${Bestsellername6}",""
"Idaho","ID","83709","03/06/1995","${Carriers}","${Bestsellername1}","HCC Advantage 2500/20 Extended","${Bestsellername2}","HCC Flexible 5000/20","${Bestsellername3}","HCC Flexible 2500/20","${Bestsellername4}","HCC Flexible 5000/20 Extended","${Bestsellername5}","HCC Flexible 2500/20 Extended","${Bestsellername6}","HCC Advantage 1000/20"
"Illinois","IL","60629","03/06/1995","${Carriers}","${Bestsellername1}","HCC Advantage 2500/20 Extended","${Bestsellername2}","HCC Flexible 5000/20","${Bestsellername3}","HCC Flexible 2500/20","${Bestsellername4}","HCC Flexible 5000/20 Extended","${Bestsellername5}","HCC Flexible 2500/20 Extended","${Bestsellername6}","HCC Advantage 1000/20"
"Indiana","IN","46227","03/06/1995","${Carriers}","${Bestsellername1}","HCC Advantage 2500/20","${Bestsellername2}","HCC Flexible 5000/20","${Bestsellername3}","HCC Flexible 2500/20","${Bestsellername4}","HCC Flexible 1000/20","${Bestsellername5}","HCC Advantage 1000/20","${Bestsellername6}","HCC Advantage 500/20"
"Kansas","KS","66062","03/06/1995","${Carriers}","${Bestsellername1}","HCC Advantage 2500/20 Extended","${Bestsellername2}","HCC Flexible 5000/20","${Bestsellername3}","HCC Flexible 2500/20","${Bestsellername4}","HCC Flexible 5000/20 Extended","${Bestsellername5}","HCC Flexible 2500/20 Extended","${Bestsellername6}","HCC Advantage 1000/20"
"Kentucky","KY","40214","03/06/1995","${Carriers}","${Bestsellername1}","HCC Advantage 2500/20 Extended","${Bestsellername2}","HCC Flexible 5000/20","${Bestsellername3}","HCC Flexible 2500/20","${Bestsellername4}","HCC Flexible 5000/20 Extended","${Bestsellername5}","HCC Flexible 2500/20 Extended","${Bestsellername6}","HCC Advantage 1000/20"
"Louisiana","LA","70816","03/06/1995","${Carriers}","${Bestsellername1}","HCC Advantage 2500/20 Extended","${Bestsellername2}","HCC Flexible 5000/20","${Bestsellername3}","HCC Flexible 2500/20","${Bestsellername4}","HCC Flexible 5000/20 Extended","${Bestsellername5}","HCC Flexible 2500/20 Extended","${Bestsellername6}","HCC Advantage 1000/20"
"##Massachusetts","MA","02128","03/06/1995","${Carriers}","${Bestsellername1}","22222222222","${Bestsellername2}","","${Bestsellername3}","","${Bestsellername4}","","${Bestsellername5}","","${Bestsellername6}",""
"##Maryland","MD","21215","03/06/1995","${Carriers}","${Bestsellername1}","3333333","${Bestsellername2}","","${Bestsellername3}","","${Bestsellername4}","","${Bestsellername5}","","${Bestsellername6}",""
"##Maine","ME","04401","03/06/1995","${Carriers}","${Bestsellername1}","HCC Advantage 2500/20","${Bestsellername2}","HCC Flexible 5000/20","${Bestsellername3}","HCC Flexible 2500/20","${Bestsellername4}","HCC Flexible 5000/20 Extended","${Bestsellername5}","HCC Flexible 2500/20 Extended","${Bestsellername6}","HCC Advantage 1000/20"
"##Michigan","MI","48228","03/06/1995","${Carriers}","${Bestsellername1}","Tokio Marine HCC 2500/20","${Bestsellername2}","Tokio Marine HCC 1000/20","${Bestsellername3}","Tokio Marine HCC 500/20","${Bestsellername4}","Tokio Marine HCC 2500/20","${Bestsellername5}","Tokio Marine HCC 5000/20","${Bestsellername6}","Tokio Marine HCC 7500/20"
"##Minnesota","MN","55106","03/06/1995","${Carriers}","${Bestsellername1}","Everest 2500/20/7500/1500000","${Bestsellername2}","Everest 5000/20/9000/250000","${Bestsellername3}","Everest 5000/20/9000/1000000","${Bestsellername4}","Everest 5000/20/8000/1000000","${Bestsellername5}","Everest 5000/30/10000/750000","${Bestsellername6}","Everest 1000/0/1000/1500000"
"##Missouri","MO","63129","03/06/1995","${Carriers}","${Bestsellername1}","HCC Advantage 2500/20","${Bestsellername2}","HCC Flexible 5000/20","${Bestsellername3}","HCC Flexible 2500/20","${Bestsellername4}","HCC Flexible 1000/20","${Bestsellername5}","HCC Advantage 1000/20","${Bestsellername6}","HCC Advantage 500/20"
"##Mississippi","MS","39503","03/06/1995","${Carriers}","${Bestsellername1}","HCC Advantage 2500/20 Extended","${Bestsellername2}","HCC Flexible 5000/20","${Bestsellername3}","HCC Flexible 2500/20","${Bestsellername4}","HCC Flexible 5000/20 Extended","${Bestsellername5}","HCC Flexible 2500/20 Extended","${Bestsellername6}","HCC Advantage 1000/20"
"##Montana","MT","59102","03/06/1995","${Carriers}","${Bestsellername1}","4444444","${Bestsellername2}","","${Bestsellername3}","","${Bestsellername4}","","${Bestsellername5}","","${Bestsellername6}",""
"##North Carolina","NC","28269","03/06/1995","${Carriers}","${Bestsellername1}","HCC Advantage 2500/20 Extended","${Bestsellername2}","HCC Flexible 5000/20","${Bestsellername3}","HCC Flexible 2500/20","${Bestsellername4}","HCC Flexible 5000/20 Extended","${Bestsellername5}","HCC Flexible 2500/20 Extended","${Bestsellername6}","HCC Advantage 1000/20"
"##North Dakota","ND","58103","03/06/1995","${Carriers}","${Bestsellername1}","HCC Advantage 2500/20","${Bestsellername2}","HCC Flexible 5000/20","${Bestsellername3}","HCC Flexible 2500/20","${Bestsellername4}","HCC Flexible 1000/20","${Bestsellername5}","HCC Advantage 1000/20","${Bestsellername6}","HCC Advantage 500/20"
"##Nebraska","NE","68104","03/06/1995","${Carriers}","${Bestsellername1}","HCC Advantage 2500/20","${Bestsellername2}","HCC Flexible 5000/20","${Bestsellername3}","HCC Flexible 2500/20","${Bestsellername4}","HCC Flexible 1000/20","${Bestsellername5}","HCC Advantage 1000/20","${Bestsellername6}","HCC Advantage 500/20"
"##New Hampshire","NH","03103","03/06/1995","${Carriers}","${Bestsellername1}","HCC Advantage 2500/20","${Bestsellername2}","HCC Advantage 2500/20","${Bestsellername3}","HCC Advantage 7500/20","${Bestsellername4}","HCC Advantage 5000/20","${Bestsellername5}","HCC Advantage 1000/20","${Bestsellername6}","HCC Advantage 500/20"
"##New Jersey","NJ","08701","03/06/1995","${Carriers}","${Bestsellername1}","5555","${Bestsellername2}","","${Bestsellername3}","","${Bestsellername4}","","${Bestsellername5}","","${Bestsellername6}",""
"##New Mexico","NM","87121","03/06/1995","${Carriers}","${Bestsellername1}","HCC Advantage 2500/20","${Bestsellername2}","HCC Flexible 5000/20","${Bestsellername3}","HCC Flexible 2500/20","${Bestsellername4}","HCC Flexible 1000/20","${Bestsellername5}","HCC Advantage 1000/20","${Bestsellername6}","HCC Advantage 500/20"
"##Nevada","NV","89110","03/06/1995","${Carriers}","${Bestsellername1}","HCC Advantage 2500/20","${Bestsellername2}","HCC Flexible 5000/20","${Bestsellername3}","HCC Flexible 2500/20","${Bestsellername4}","HCC Flexible 1000/20","${Bestsellername5}","HCC Advantage 1000/20","${Bestsellername6}","HCC Advantage 500/20"
"##New York","NY","11226","03/06/1995","${Carriers}","${Bestsellername1}","","${Bestsellername2}","","${Bestsellername3}","","${Bestsellername4}","","${Bestsellername5}","","${Bestsellername6}",""
"##Ohio","OH","43228","03/06/1995","${Carriers}","${Bestsellername1}","HCC Advantage 2500/20","${Bestsellername2}","HCC Flexible 5000/20","${Bestsellername3}","HCC Flexible 2500/20","${Bestsellername4}","HCC Flexible 1000/20","${Bestsellername5}","HCC Advantage 1000/20","${Bestsellername6}","HCC Advantage 500/20"
"##Oklahoma","OK","73160","03/06/1995","${Carriers}","${Bestsellername1}","HCC Advantage 2500/20","${Bestsellername2}","HCC Flexible 5000/20","${Bestsellername3}","HCC Flexible 2500/20","${Bestsellername4}","HCC Flexible 1000/20","${Bestsellername5}","HCC Advantage 1000/20","${Bestsellername6}","HCC Advantage 500/20"
"##Oregon","OR","97229","03/06/1995","${Carriers}","${Bestsellername1}","HCC Advantage 2500/20","${Bestsellername2}","HCC Flexible 5000/20","${Bestsellername3}","HCC Flexible 2500/20","${Bestsellername4}","HCC Flexible 1000/20","${Bestsellername5}","HCC Advantage 1000/20","${Bestsellername6}","HCC Advantage 500/20"
"##Pennsylvania","PA","19120","03/06/1995","${Carriers}","${Bestsellername1}","HCC Advantage 2500/20 Extended","${Bestsellername2}","HCC Flexible 5000/20","${Bestsellername3}","HCC Flexible 2500/20","${Bestsellername4}","HCC Flexible 5000/20 Extended","${Bestsellername5}","HCC Flexible 2500/20 Extended","${Bestsellername6}","HCC Advantage 1000/20"
"##Rhode Island","RI","02909","03/06/1995","${Carriers}","${Bestsellername1}","","${Bestsellername2}","","${Bestsellername3}","","${Bestsellername4}","","${Bestsellername5}","","${Bestsellername6}",""
"##South Carolina","SC","29223","03/06/1995","${Carriers}","${Bestsellername1}","HCC Advantage 2500/20 Extended","${Bestsellername2}","HCC Flexible 5000/20","${Bestsellername3}","HCC Flexible 2500/20","${Bestsellername4}","HCC Flexible 5000/20 Extended","${Bestsellername5}","HCC Flexible 2500/20 Extended","${Bestsellername6}","HCC Advantage 1000/20"
"##South Dakota","SD","57106","03/06/1995","${Carriers}","${Bestsellername1}","","${Bestsellername2}","HCC Flexible 5000/20","${Bestsellername3}","HCC Flexible 2500/20","${Bestsellername4}","HCC Flexible 1000/20","${Bestsellername5}","HCC Advantage 1000/20","${Bestsellername6}","HCC Advantage 500/20"
"##Tennessee","TN","37013","03/06/1995","${Carriers}","${Bestsellername1}","HCC Advantage 2500/20","${Bestsellername2}","HCC Flexible 5000/20","${Bestsellername3}","HCC Flexible 2500/20","${Bestsellername4}","HCC Flexible 1000/20","${Bestsellername5}","HCC Advantage 1000/20","${Bestsellername6}","HCC Advantage 500/20"
"##Texas","TX","79936","03/06/1995","${Carriers}","${Bestsellername1}","HCC Advantage 2500/20 Extended","${Bestsellername2}","HCC Flexible 5000/20","${Bestsellername3}","HCC Flexible 2500/20","${Bestsellername4}","HCC Flexible 5000/20 Extended","${Bestsellername5}","HCC Flexible 2500/20 Extended","${Bestsellername6}","HCC Advantage 1000/20"
"##Utah","UT","84120","03/06/1995","${Carriers}","${Bestsellername1}","Unified Premier STM 5000/100 Extended","${Bestsellername2}","Unified Premier STM 5000/100 Extended","${Bestsellername3}","National General 5000/0/5000/1000000","${Bestsellername4}","Unified Premier STM 2500/100 Extended","${Bestsellername5}","Unified Premier STM 1000/100 Extended","${Bestsellername6}","Unified Premier STM 500/100 Extended"
"##Virginia","VA","23464","03/06/1995","${Carriers}","${Bestsellername1}","HCC Advantage 2500/20","${Bestsellername2}","HCC Flexible 5000/20","${Bestsellername3}","HCC Flexible 2500/20","${Bestsellername4}","HCC Flexible 1000/20","${Bestsellername5}","HCC Advantage 1000/20","${Bestsellername6}","HCC Advantage 500/20"
"##Vermont","VT","05401","03/06/1995","${Carriers}","${Bestsellername1}","","${Bestsellername2}","","${Bestsellername3}","","${Bestsellername4}","","${Bestsellername5}","","${Bestsellername6}",""
"##Washington","WA","98115","03/06/1995","${Carriers}","${Bestsellername1}","HCC Advantage 2500/20 Extended","${Bestsellername2}","HCC Advantage 2500/20","${Bestsellername3}","HCC Advantage 1000/20","${Bestsellername4}","HCC Advantage 1000/20 Extended","${Bestsellername5}","HCC Advantage 500/20","${Bestsellername6}","HCC Advantage 500/20 Extended"
"##Wisconsin","WI","53215","03/06/1995","${Carriers}","${Bestsellername1}","HCC Advantage 2500/20","${Bestsellername2}","HCC Flexible 5000/20","${Bestsellername3}","HCC Flexible 2500/20","${Bestsellername4}","HCC Flexible 1000/20","${Bestsellername5}","HCC Advantage 1000/20","${Bestsellername6}","HCC Advantage 500/20"
"##West Virginia","WV","25302","03/06/1995","${Carriers}","${Bestsellername1}","HCC Advantage 2500/20 Extended","${Bestsellername2}","HCC Flexible 5000/20","${Bestsellername3}","HCC Flexible 2500/20","${Bestsellername4}","HCC Flexible 5000/20 Extended","${Bestsellername5}","HCC Flexible 2500/20 Extended","${Bestsellername6}","HCC Advantage 1000/20"
"##Wyoming","WY","82001","03/06/1995","${Carriers}","${Bestsellername1}","HCC Advantage 2500/20 Extended","${Bestsellername2}","HCC Flexible 5000/20","${Bestsellername3}","HCC Flexible 2500/20","${Bestsellername4}","HCC Flexible 5000/20 Extended","${Bestsellername5}","HCC Flexible 2500/20 Extended","${Bestsellername6}","HCC Flexible 1000/20"
