"state","state1","zipcode","planCount","pivotcompanion","everest","everest-one","lifeshield","nationalgeneral","slaico","unitedhealthone","AdvantHealth","PLID"
"Iowa","IA","50317","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"Idaho","ID","83709","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"Illinois","IL","60629","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"Indiana","IN","46227","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"Kansas","KS","66062","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"Kentucky","KY","40214","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"Louisiana","LA","70816","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"##Massachusetts","MA","02128","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"Maryland","MD","21215","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"Maine","ME","04401","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"Michigan","MI","48228","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"Minnesota","MN","55106","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"Missouri","MO","63129","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"Mississippi","MS","39503","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"Montana","MT","59102","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"North Carolina","NC","28269","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"North Dakota","ND","58103","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"Nebraska","NE","68104","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"New Hampshire","NH","03103","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"##New Jersey","NJ","08701","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"New Mexico","NM","87121","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"Nevada","NV","89110","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"##New York","NY","11226","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"Ohio","OH","43228","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"Oklahoma","OK","73160","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"Oregon","OR","97229","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"Pennsylvania","PA","19120","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"##Rhode Island","RI","02909","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"South Carolina","SC","29223","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"South Dakota","SD","57106","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"Tennessee","TN","37013","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"Texas","TX","79936","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"Utah","UT","84120","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"Virginia","VA","23464","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"##Vermont","VT","05401","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"##Washington","WA","98115","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"Wisconsin","WI","53215","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"West Virginia","WV","25302","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
"Wyoming","WY","82001","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}","tristar"
