"provider","state","planid","QA_Apply_page_rate","testprod_Apply_page_rate","zipcode","Primary_dob","Primary_gender","Spouse_dob","Spouse_gender","Spouse","Spouse_enable","Child_dob","Child_gender","Child","Child_enable"
"##Companion Life","ma","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","02128","1/1/1980","F","","","","","","","",""
"##Companion Life","md","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","21215","1/1/1980","F","","","","","","","",""
"##Companion Life","me","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","04401","1/1/1980","F","","","","","","","",""
"##Companion Life","mi","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","48228","1/1/1980","F","","","","","","","",""
"##Companion Life","mn","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","55106","1/1/1980","F","","","","","","","",""
"##Companion Life","mo","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","63129","1/1/1980","F","","","","","","","",""
"Companion Life","ms","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","39503","1/1/1980","F","","","","","","","",""
"##Companion Life","mt","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","59102","1/1/1980","F","","","","","","","",""
"Companion Life","nc","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","28269","1/1/1980","F","","","","","","","",""
"##Companion Life","nd","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","58103","1/1/1980","F","","","","","","","",""
"##Companion Life","ne","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","68104","1/1/1980","F","","","","","","","",""
"##Companion Life","nh","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","03103","1/1/1980","F","","","","","","","",""
"##Companion Life","nj","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","08701","1/1/1980","F","","","","","","","",""
"##Companion Life","nm","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","87121","1/1/1980","F","","","","","","","",""
"##Companion Life","nv","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","89110","1/1/1980","F","","","","","","","",""
"##Companion Life","ny","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","11226","1/1/1980","F","","","","","","","",""
"Companion Life","oh","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","43228","1/1/1980","F","","","","","","","",""
"##Companion Life","ok","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","73160","1/1/1980","F","","","","","","","",""
"##Companion Life","or","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","97229","1/1/1980","F","","","","","","","",""
"##Companion Life","pa","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","19120","1/1/1980","F","","","","","","","",""
"##Companion Life","ri","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","02909","1/1/1980","F","","","","","","","",""
"##Companion Life","sc","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","29223","1/1/1980","F","","","","","","","",""
"##Companion Life","sd","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","57106","1/1/1980","F","","","","","","","",""
"Companion Life","tn","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","37230","1/1/1980","F","","","","","","","",""
"Companion Life","tx","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","79936","1/1/1980","F","","","","","","","",""
"##Companion Life","ut","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","84120","1/1/1980","F","","","","","","","",""
"Companion Life","va","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","23464","1/1/1980","F","","","","","","","",""
"##Companion Life","vt","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","05401","1/1/1980","F","","","","","","","",""
"##Companion Life","wa","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","98115","1/1/1980","F","","","","","","","",""
"Companion Life","wi","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","53215","1/1/1980","F","","","","","","","",""
"Companion Life","wv","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","25302","1/1/1980","F","","","","","","","",""
"Companion Life","wy","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","82001","1/1/1980","F","","","","","","","",""
