provider,Plan_name,quote_testprod_rate,quote_QA_rate,QA_Apply_page_rate,testprod_Apply_page_rate,zipcode,Primary_dob,Primary_gender,Spouse_dob,Spouse_gender,Spouse,Spouse_enable,Child_dob,Child_gender,Child,Child_enable,multiple,origin,new
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},84120,1980/1/1,F,,,,,,,,,,0.82,0.82
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},23464,1980/1/1,F,,,,,,,,,,0.88,0.96
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},98115,1980/1/1,F,,,,,,,,,,1,1
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},53215,1980/1/1,F,,,,,,,,,,0.94,1.03
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},25302,1980/1/1,F,,,,,,,,,,0.94,0.94
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},82001,1980/1/1,F,,,,,,,,,,0.94,1.03
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},70816,1980/1/2,F,,,,,,,,,,1,1.095
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},73160,1980/1/3,F,,,,,,,,,,0.94,1.0293
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},25302,1980/1/4,F,,,,,,,,,,0.94,1.0058
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},57106,1980/1/5,F,,,,,,,,,,0.82,0.8979
Unified Premier,Unified Premier STM 5000/100 Extended,${quote_testprod_rate},${quote_QA_rate},${Apply_page_QA_rate},${Apply_page_testprod_rate},29223,1980/1/6,F,,,,,,,,,,0.94,1.0293
