"provider","state","Plan_name","quote_QA_rate","QA_Apply_page_rate","quote_testprod_rate","testprod_Apply_page_rate","zipcode","Primary_dob","Primary_gender"
"##Chubb","md","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","21215","1/1/1980","F"
"##Chubb","me","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","4401","1/1/1980","F"
"Chubb","mi","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","48228","1/1/1980","F"
"##Chubb","mn","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","55106","1/1/1980","F"
"##Chubb","mo","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","63129","1/1/1980","F"
"##Chubb","ms","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","39503","1/1/1980","F"
"##Chubb","mt","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","59102","1/1/1980","F"
"##Chubb","nc","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","28269","1/1/1980","F"
"##Chubb","nd","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","58103","1/1/1980","F"
"##Chubb","ne","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","68104","1/1/1980","F"
"##Chubb","nh","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","3103","1/1/1980","F"
"##Chubb","nj","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","8701","1/1/1980","F"
"##Chubb","nm","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","87121","1/1/1980","F"
"##Chubb","nv","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","89110","1/1/1980","F"
"##Chubb","ny","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","11226","1/1/1980","F"
"##Chubb","oh","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","43228","1/1/1980","F"
"##Chubb","ok","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","73160","1/1/1980","F"
"##Chubb","or","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","97229","1/1/1980","F"
"##Chubb","pa","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","19120","1/1/1980","F"
"##Chubb","ri","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","2909","1/1/1980","F"
"Chubb","sc","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","29223","1/1/1980","F"
"##Chubb","sd","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","57106","1/1/1980","F"
"Chubb","tn","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","37230","1/1/1980","F"
"##Chubb","tx","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","79936","1/1/1980","F"
"##Chubb","ut","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","84120","1/1/1980","F"
"##Chubb","va","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","23464","1/1/1980","F"
"##Chubb","vt","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","5401","1/1/1980","F"
"##Chubb","wa","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","98115","1/1/1980","F"
"##Chubb","wi","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","53215","1/1/1980","F"
"Chubb","wv","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","25302","1/1/1980","F"
"Chubb","wy","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","82001","1/1/1980","F"
