"state","zipcode","carrierid","planname","General Disclaimers","ACA TAX","Consent to Electronic Transactions","FW"
"##MD","21215","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##ME","4401","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##MI","48228","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##MN","55106","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##MO","63129","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##MS","39503","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##MT","59102","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##NC","28269","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##ND","58103","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##NE","68104","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##NH","3103","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##NJ","8701","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##NM","87121","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##NV","89110","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##NY","11226","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##OH","43228","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##OK","73160","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##OR","97229","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"PA","19120","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","Any person who knowingly and with intent to defraud any insurance company or other person files an application for insurance or a statement of claim containing any materially false information, or, for the purpose of misleading, conceals information concerning any fact material thereto, commits a fraudulent insurance act, which is a crime and subjects such person to criminal and civil penalties."
"##RI","2909","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##SC","29223","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##SD","57106","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##TN","37230","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##TX","79936","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##UT","84120","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"VA","23464","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","ANY PERSON WHO, WITH THE INTENT TO DEFRAUD OR KNOWING THAT HE IS FACILITATING A FRAUD AGAINST AN INSURER, SUBMITS AN APPLICATION OR FILES A CLAIM CONTAINING A FALSE OR DECEPTIVE STATEMENT MAY HAVE VIOLATED STATE LAW."
"##VT","5401","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##WA","98115","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##WI","53215","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##WV","25302","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##WY","82001","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
