"provider","state","Plan_name","quote_QA_rate","QA_Apply_page_rate","quote_testprod_rate","testprod_Apply_page_rate","zipcode","Primary_dob","Primary_gender"
"Chubb","oh","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","43228","1/1/1980","F"
"##Chubb","ok","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","73160","1/1/1980","F"
"Chubb","or","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","97229","1/1/1980","F"
"Chubb","pa","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","19120","1/1/1980","F"
"Chubb","ri","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","02909","1/1/1980","F"
"Chubb","sc","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","29223","1/1/1980","F"
"##Chubb","sd","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","57106","1/1/1980","F"
"##Chubb","tn","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","37230","1/1/1980","F"
"Chubb","tx","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","79936","1/1/1980","F"
"##Chubb","ut","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","84120","1/1/1980","F"
"Chubb","va","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","23464","1/1/1980","F"
"##Chubb","vt","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","05401","1/1/1980","F"
"##Chubb","wa","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","98115","1/1/1980","F"
"Chubb","wi","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","53215","1/1/1980","F"
"##Chubb","wv","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","25302","1/1/1980","F"
"Chubb","wy","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","82001","1/1/1980","F"
